Time,l_per,l_abs,b_per,b_abs
1662670731,4.1,134,1.8,35
1662670731,4.1,134,1.8,35
1662670731,4.1,134,1.8,35
1662670732,4.1,134,1.8,35
1662670736,4.1,134,1.9,36
1662670739,5.1,167,2.6,50
1662670746,5.9,193,3.2,60
1662670784,6.0,199,3.4,64
1662670816,6.0,199,3.4,64
1662670852,6.0,199,3.4,64
1662670904,6.1,200,3.5,67
1662670989,6.1,200,3.5,67
1662671049,6.1,200,3.5,67
1662671205,6.1,200,3.5,67
1662671442,6.1,200,3.5,67
1662671579,20.4,675,10.6,202
1662671894,20.7,682,11.0,208
1662672238,21.4,708,12.3,233
1662672727,21.5,710,12.7,241
1662672736,22.1,729,13.2,251
1662672772,23.4,773,14.2,269
1662672893,23.4,773,14.2,269
1662673102,23.4,773,14.2,269
1662673948,23.4,773,14.2,269
1662674172,23.4,773,14.2,269
1662674882,23.4,773,14.2,269
1662675428,23.4,773,14.2,269
1662676174,23.4,773,14.2,269
1662676567,23.4,773,14.2,270
1662677039,23.4,773,14.2,270
1662677739,23.4,773,14.2,270
1662678902,23.4,774,14.3,271
1662680023,23.4,774,14.3,271
1662681071,23.4,774,14.3,271
1662682322,23.4,774,14.3,271
1662684214,23.4,774,14.3,271
1662684840,23.4,774,14.3,271
1662685846,23.4,774,14.3,271
1662687106,23.4,774,14.3,271
1662689946,23.4,774,14.3,271
1662690964,23.7,781,14.6,277
1662693212,23.7,781,14.6,277
1662696827,23.7,781,14.6,277
1662696827,23.7,781,14.6,277
