Time,l_per,l_abs,b_per,b_abs
1662670723,4.1,134,1.8,35
1662670723,4.1,134,1.8,35
1662670723,4.1,134,1.8,35
1662670723,4.1,134,1.8,35
1662670727,4.1,134,1.8,35
1662670728,5.6,186,2.8,54
1662670729,6.0,199,3.4,64
1662670735,6.0,199,3.4,64
1662670739,6.2,203,3.6,68
1662670747,10.9,360,5.1,97
1662670755,11.0,361,5.3,100
1662670765,11.0,361,5.3,100
1662670771,11.2,368,5.5,105
1662670779,11.2,368,5.5,105
1662670790,11.2,368,5.5,105
1662670810,11.2,368,5.5,105
1662670846,11.2,368,5.5,105
1662670863,11.2,368,5.5,105
1662670889,11.2,368,5.5,105
1662670907,11.2,368,5.5,105
1662670944,11.2,368,5.5,105
1662671005,11.2,368,5.6,106
1662671091,11.2,368,5.6,106
1662671169,11.2,368,5.6,106
1662671391,11.2,368,5.6,106
1662671490,11.2,368,5.6,106
1662671615,11.2,368,5.6,106
1662671812,11.2,368,5.6,106
1662672120,11.2,368,5.6,106
1662672284,11.2,368,5.6,106
1662672509,11.2,368,5.6,106
1662673010,11.2,368,5.6,106
1662674111,11.2,368,5.6,106
1662674583,20.7,682,11.0,208
1662675424,20.7,682,11.0,208
1662675759,20.7,682,11.0,208
1662677322,20.7,682,11.0,208
1662677636,20.7,682,11.0,208
1662678030,20.8,686,11.4,216
1662680098,21.5,711,12.0,227
1662685080,21.5,711,12.0,227
1662687844,21.5,711,12.0,227
1662688148,21.5,711,12.0,227
1662688454,21.5,711,12.0,227
1662694469,23.2,766,13.9,264
