time,subject,fuzzer,run,cov_type,cov
1662670722,dnsmasq,snapfuzz,1,l_per,4.1
1662670722,dnsmasq,snapfuzz,1,l_abs,134
1662670722,dnsmasq,snapfuzz,1,b_per,1.8
1662670722,dnsmasq,snapfuzz,1,b_abs,35
1662670722,dnsmasq,snapfuzz,1,l_per,4.1
1662670722,dnsmasq,snapfuzz,1,l_abs,134
1662670722,dnsmasq,snapfuzz,1,b_per,1.8
1662670722,dnsmasq,snapfuzz,1,b_abs,35
1662670722,dnsmasq,snapfuzz,1,l_per,4.1
1662670722,dnsmasq,snapfuzz,1,l_abs,134
1662670722,dnsmasq,snapfuzz,1,b_per,1.8
1662670722,dnsmasq,snapfuzz,1,b_abs,35
1662670722,dnsmasq,snapfuzz,1,l_per,4.1
1662670722,dnsmasq,snapfuzz,1,l_abs,134
1662670722,dnsmasq,snapfuzz,1,b_per,1.8
1662670722,dnsmasq,snapfuzz,1,b_abs,35
1662670726,dnsmasq,snapfuzz,1,l_per,4.1
1662670726,dnsmasq,snapfuzz,1,l_abs,134
1662670726,dnsmasq,snapfuzz,1,b_per,1.8
1662670726,dnsmasq,snapfuzz,1,b_abs,35
1662670727,dnsmasq,snapfuzz,1,l_per,5.6
1662670727,dnsmasq,snapfuzz,1,l_abs,186
1662670727,dnsmasq,snapfuzz,1,b_per,2.8
1662670727,dnsmasq,snapfuzz,1,b_abs,54
1662670729,dnsmasq,snapfuzz,1,l_per,5.8
1662670729,dnsmasq,snapfuzz,1,l_abs,190
1662670729,dnsmasq,snapfuzz,1,b_per,3.1
1662670729,dnsmasq,snapfuzz,1,b_abs,58
1662670738,dnsmasq,snapfuzz,1,l_per,6.2
1662670738,dnsmasq,snapfuzz,1,l_abs,204
1662670738,dnsmasq,snapfuzz,1,b_per,3.6
1662670738,dnsmasq,snapfuzz,1,b_abs,69
1662670744,dnsmasq,snapfuzz,1,l_per,6.2
1662670744,dnsmasq,snapfuzz,1,l_abs,204
1662670744,dnsmasq,snapfuzz,1,b_per,3.6
1662670744,dnsmasq,snapfuzz,1,b_abs,69
1662670747,dnsmasq,snapfuzz,1,l_per,6.2
1662670747,dnsmasq,snapfuzz,1,l_abs,205
1662670747,dnsmasq,snapfuzz,1,b_per,3.8
1662670747,dnsmasq,snapfuzz,1,b_abs,72
1662670750,dnsmasq,snapfuzz,1,l_per,6.2
1662670750,dnsmasq,snapfuzz,1,l_abs,205
1662670750,dnsmasq,snapfuzz,1,b_per,3.8
1662670750,dnsmasq,snapfuzz,1,b_abs,72
1662670771,dnsmasq,snapfuzz,1,l_per,6.2
1662670771,dnsmasq,snapfuzz,1,l_abs,205
1662670771,dnsmasq,snapfuzz,1,b_per,3.8
1662670771,dnsmasq,snapfuzz,1,b_abs,72
1662670779,dnsmasq,snapfuzz,1,l_per,6.2
1662670779,dnsmasq,snapfuzz,1,l_abs,205
1662670779,dnsmasq,snapfuzz,1,b_per,3.8
1662670779,dnsmasq,snapfuzz,1,b_abs,73
1662670801,dnsmasq,snapfuzz,1,l_per,6.2
1662670801,dnsmasq,snapfuzz,1,l_abs,205
1662670801,dnsmasq,snapfuzz,1,b_per,3.8
1662670801,dnsmasq,snapfuzz,1,b_abs,73
1662670823,dnsmasq,snapfuzz,1,l_per,6.2
1662670823,dnsmasq,snapfuzz,1,l_abs,205
1662670823,dnsmasq,snapfuzz,1,b_per,3.8
1662670823,dnsmasq,snapfuzz,1,b_abs,73
1662670846,dnsmasq,snapfuzz,1,l_per,6.2
1662670846,dnsmasq,snapfuzz,1,l_abs,205
1662670846,dnsmasq,snapfuzz,1,b_per,3.8
1662670846,dnsmasq,snapfuzz,1,b_abs,73
1662670871,dnsmasq,snapfuzz,1,l_per,6.4
1662670871,dnsmasq,snapfuzz,1,l_abs,211
1662670871,dnsmasq,snapfuzz,1,b_per,4.1
1662670871,dnsmasq,snapfuzz,1,b_abs,77
1662670911,dnsmasq,snapfuzz,1,l_per,6.4
1662670911,dnsmasq,snapfuzz,1,l_abs,211
1662670911,dnsmasq,snapfuzz,1,b_per,4.1
1662670911,dnsmasq,snapfuzz,1,b_abs,77
1662670917,dnsmasq,snapfuzz,1,l_per,6.4
1662670917,dnsmasq,snapfuzz,1,l_abs,211
1662670917,dnsmasq,snapfuzz,1,b_per,4.1
1662670917,dnsmasq,snapfuzz,1,b_abs,77
1662670952,dnsmasq,snapfuzz,1,l_per,6.4
1662670952,dnsmasq,snapfuzz,1,l_abs,211
1662670952,dnsmasq,snapfuzz,1,b_per,4.1
1662670952,dnsmasq,snapfuzz,1,b_abs,77
1662670983,dnsmasq,snapfuzz,1,l_per,6.4
1662670983,dnsmasq,snapfuzz,1,l_abs,211
1662670983,dnsmasq,snapfuzz,1,b_per,4.1
1662670983,dnsmasq,snapfuzz,1,b_abs,77
1662671049,dnsmasq,snapfuzz,1,l_per,6.4
1662671049,dnsmasq,snapfuzz,1,l_abs,211
1662671049,dnsmasq,snapfuzz,1,b_per,4.1
1662671049,dnsmasq,snapfuzz,1,b_abs,77
1662671208,dnsmasq,snapfuzz,1,l_per,6.4
1662671208,dnsmasq,snapfuzz,1,l_abs,211
1662671208,dnsmasq,snapfuzz,1,b_per,4.1
1662671208,dnsmasq,snapfuzz,1,b_abs,77
1662671256,dnsmasq,snapfuzz,1,l_per,6.4
1662671256,dnsmasq,snapfuzz,1,l_abs,211
1662671256,dnsmasq,snapfuzz,1,b_per,4.1
1662671256,dnsmasq,snapfuzz,1,b_abs,77
1662671314,dnsmasq,snapfuzz,1,l_per,6.4
1662671314,dnsmasq,snapfuzz,1,l_abs,211
1662671314,dnsmasq,snapfuzz,1,b_per,4.1
1662671314,dnsmasq,snapfuzz,1,b_abs,77
1662671314,dnsmasq,snapfuzz,1,l_per,6.4
1662671314,dnsmasq,snapfuzz,1,l_abs,211
1662671314,dnsmasq,snapfuzz,1,b_per,4.1
1662671314,dnsmasq,snapfuzz,1,b_abs,77
1662671370,dnsmasq,snapfuzz,1,l_per,6.4
1662671370,dnsmasq,snapfuzz,1,l_abs,211
1662671370,dnsmasq,snapfuzz,1,b_per,4.1
1662671370,dnsmasq,snapfuzz,1,b_abs,77
1662671446,dnsmasq,snapfuzz,1,l_per,6.4
1662671446,dnsmasq,snapfuzz,1,l_abs,211
1662671446,dnsmasq,snapfuzz,1,b_per,4.1
1662671446,dnsmasq,snapfuzz,1,b_abs,77
1662671569,dnsmasq,snapfuzz,1,l_per,6.4
1662671569,dnsmasq,snapfuzz,1,l_abs,211
1662671569,dnsmasq,snapfuzz,1,b_per,4.1
1662671569,dnsmasq,snapfuzz,1,b_abs,77
1662671654,dnsmasq,snapfuzz,1,l_per,6.4
1662671654,dnsmasq,snapfuzz,1,l_abs,211
1662671654,dnsmasq,snapfuzz,1,b_per,4.1
1662671654,dnsmasq,snapfuzz,1,b_abs,77
1662672051,dnsmasq,snapfuzz,1,l_per,6.4
1662672051,dnsmasq,snapfuzz,1,l_abs,211
1662672051,dnsmasq,snapfuzz,1,b_per,4.1
1662672051,dnsmasq,snapfuzz,1,b_abs,77
1662672903,dnsmasq,snapfuzz,1,l_per,6.4
1662672903,dnsmasq,snapfuzz,1,l_abs,211
1662672903,dnsmasq,snapfuzz,1,b_per,4.1
1662672903,dnsmasq,snapfuzz,1,b_abs,77
1662674302,dnsmasq,snapfuzz,1,l_per,6.4
1662674302,dnsmasq,snapfuzz,1,l_abs,211
1662674302,dnsmasq,snapfuzz,1,b_per,4.1
1662674302,dnsmasq,snapfuzz,1,b_abs,77
1662675274,dnsmasq,snapfuzz,1,l_per,6.4
1662675274,dnsmasq,snapfuzz,1,l_abs,211
1662675274,dnsmasq,snapfuzz,1,b_per,4.1
1662675274,dnsmasq,snapfuzz,1,b_abs,77
1662676167,dnsmasq,snapfuzz,1,l_per,6.4
1662676167,dnsmasq,snapfuzz,1,l_abs,211
1662676167,dnsmasq,snapfuzz,1,b_per,4.1
1662676167,dnsmasq,snapfuzz,1,b_abs,77
1662678971,dnsmasq,snapfuzz,1,l_per,6.4
1662678971,dnsmasq,snapfuzz,1,l_abs,211
1662678971,dnsmasq,snapfuzz,1,b_per,4.1
1662678971,dnsmasq,snapfuzz,1,b_abs,77
1662681421,dnsmasq,snapfuzz,1,l_per,6.4
1662681421,dnsmasq,snapfuzz,1,l_abs,211
1662681421,dnsmasq,snapfuzz,1,b_per,4.1
1662681421,dnsmasq,snapfuzz,1,b_abs,77
1662690776,dnsmasq,snapfuzz,1,l_per,11.2
1662690776,dnsmasq,snapfuzz,1,l_abs,368
1662690776,dnsmasq,snapfuzz,1,b_per,5.6
1662690776,dnsmasq,snapfuzz,1,b_abs,106
1662699165,dnsmasq,snapfuzz,1,l_per,11.2
1662699165,dnsmasq,snapfuzz,1,l_abs,368
1662699165,dnsmasq,snapfuzz,1,b_per,5.6
1662699165,dnsmasq,snapfuzz,1,b_abs,106
1662699188,dnsmasq,snapfuzz,1,l_per,11.2
1662699188,dnsmasq,snapfuzz,1,l_abs,368
1662699188,dnsmasq,snapfuzz,1,b_per,5.6
1662699188,dnsmasq,snapfuzz,1,b_abs,106
1662670723,dnsmasq,snapfuzz,2,l_per,4.1
1662670723,dnsmasq,snapfuzz,2,l_abs,134
1662670723,dnsmasq,snapfuzz,2,b_per,1.8
1662670723,dnsmasq,snapfuzz,2,b_abs,35
1662670723,dnsmasq,snapfuzz,2,l_per,4.1
1662670723,dnsmasq,snapfuzz,2,l_abs,134
1662670723,dnsmasq,snapfuzz,2,b_per,1.8
1662670723,dnsmasq,snapfuzz,2,b_abs,35
1662670723,dnsmasq,snapfuzz,2,l_per,4.1
1662670723,dnsmasq,snapfuzz,2,l_abs,134
1662670723,dnsmasq,snapfuzz,2,b_per,1.8
1662670723,dnsmasq,snapfuzz,2,b_abs,35
1662670723,dnsmasq,snapfuzz,2,l_per,4.1
1662670723,dnsmasq,snapfuzz,2,l_abs,134
1662670723,dnsmasq,snapfuzz,2,b_per,1.8
1662670723,dnsmasq,snapfuzz,2,b_abs,35
1662670727,dnsmasq,snapfuzz,2,l_per,4.1
1662670727,dnsmasq,snapfuzz,2,l_abs,134
1662670727,dnsmasq,snapfuzz,2,b_per,1.8
1662670727,dnsmasq,snapfuzz,2,b_abs,35
1662670728,dnsmasq,snapfuzz,2,l_per,5.6
1662670728,dnsmasq,snapfuzz,2,l_abs,186
1662670728,dnsmasq,snapfuzz,2,b_per,2.8
1662670728,dnsmasq,snapfuzz,2,b_abs,54
1662670729,dnsmasq,snapfuzz,2,l_per,6.0
1662670729,dnsmasq,snapfuzz,2,l_abs,199
1662670729,dnsmasq,snapfuzz,2,b_per,3.4
1662670729,dnsmasq,snapfuzz,2,b_abs,64
1662670735,dnsmasq,snapfuzz,2,l_per,6.0
1662670735,dnsmasq,snapfuzz,2,l_abs,199
1662670735,dnsmasq,snapfuzz,2,b_per,3.4
1662670735,dnsmasq,snapfuzz,2,b_abs,64
1662670739,dnsmasq,snapfuzz,2,l_per,6.2
1662670739,dnsmasq,snapfuzz,2,l_abs,203
1662670739,dnsmasq,snapfuzz,2,b_per,3.6
1662670739,dnsmasq,snapfuzz,2,b_abs,68
1662670747,dnsmasq,snapfuzz,2,l_per,10.9
1662670747,dnsmasq,snapfuzz,2,l_abs,360
1662670747,dnsmasq,snapfuzz,2,b_per,5.1
1662670747,dnsmasq,snapfuzz,2,b_abs,97
