time,subject,fuzzer,run,cov_type,cov
1662549762,lightftp,snapfuzz,1,l_per,37.1
1662549762,lightftp,snapfuzz,1,l_abs,418
1662549762,lightftp,snapfuzz,1,b_per,20.8
1662549762,lightftp,snapfuzz,1,b_abs,163
1662549762,lightftp,snapfuzz,1,l_per,38.9
1662549762,lightftp,snapfuzz,1,l_abs,439
1662549762,lightftp,snapfuzz,1,b_per,23.1
1662549762,lightftp,snapfuzz,1,b_abs,181
1662549805,lightftp,snapfuzz,1,l_per,44.0
1662549805,lightftp,snapfuzz,1,l_abs,496
1662549805,lightftp,snapfuzz,1,b_per,27.1
1662549805,lightftp,snapfuzz,1,b_abs,212
1662549859,lightftp,snapfuzz,1,l_per,49.3
1662549859,lightftp,snapfuzz,1,l_abs,556
1662549859,lightftp,snapfuzz,1,b_per,30.7
1662549859,lightftp,snapfuzz,1,b_abs,240
1662549924,lightftp,snapfuzz,1,l_per,52.4
1662549924,lightftp,snapfuzz,1,l_abs,591
1662549924,lightftp,snapfuzz,1,b_per,35.3
1662549924,lightftp,snapfuzz,1,b_abs,276
1662550105,lightftp,snapfuzz,1,l_per,57.3
1662550105,lightftp,snapfuzz,1,l_abs,646
1662550105,lightftp,snapfuzz,1,b_per,39.5
1662550105,lightftp,snapfuzz,1,b_abs,309
1662550649,lightftp,snapfuzz,1,l_per,59.2
1662550649,lightftp,snapfuzz,1,l_abs,668
1662550649,lightftp,snapfuzz,1,b_per,41.2
1662550649,lightftp,snapfuzz,1,b_abs,322
1662551442,lightftp,snapfuzz,1,l_per,62.9
1662551442,lightftp,snapfuzz,1,l_abs,709
1662551442,lightftp,snapfuzz,1,b_per,43.2
1662551442,lightftp,snapfuzz,1,b_abs,338
1662552574,lightftp,snapfuzz,1,l_per,62.9
1662552574,lightftp,snapfuzz,1,l_abs,710
1662552574,lightftp,snapfuzz,1,b_per,43.4
1662552574,lightftp,snapfuzz,1,b_abs,339
1662554314,lightftp,snapfuzz,1,l_per,63.2
1662554314,lightftp,snapfuzz,1,l_abs,713
1662554314,lightftp,snapfuzz,1,b_per,43.5
1662554314,lightftp,snapfuzz,1,b_abs,340
1662559873,lightftp,snapfuzz,1,l_per,63.5
1662559873,lightftp,snapfuzz,1,l_abs,716
1662559873,lightftp,snapfuzz,1,b_per,43.7
1662559873,lightftp,snapfuzz,1,b_abs,342
1662566607,lightftp,snapfuzz,1,l_per,64.1
1662566607,lightftp,snapfuzz,1,l_abs,723
1662566607,lightftp,snapfuzz,1,b_per,44.4
1662566607,lightftp,snapfuzz,1,b_abs,347
1662573319,lightftp,snapfuzz,1,l_per,64.5
1662573319,lightftp,snapfuzz,1,l_abs,727
1662573319,lightftp,snapfuzz,1,b_per,45.1
1662573319,lightftp,snapfuzz,1,b_abs,353
1662577973,lightftp,snapfuzz,1,l_per,64.5
1662577973,lightftp,snapfuzz,1,l_abs,727
1662577973,lightftp,snapfuzz,1,b_per,45.1
1662577973,lightftp,snapfuzz,1,b_abs,353
1662549763,lightftp,snapfuzz,2,l_per,37.1
1662549763,lightftp,snapfuzz,2,l_abs,418
1662549763,lightftp,snapfuzz,2,b_per,20.8
1662549763,lightftp,snapfuzz,2,b_abs,163
1662549763,lightftp,snapfuzz,2,l_per,38.9
1662549763,lightftp,snapfuzz,2,l_abs,439
1662549763,lightftp,snapfuzz,2,b_per,23.1
1662549763,lightftp,snapfuzz,2,b_abs,181
1662549808,lightftp,snapfuzz,2,l_per,44.3
1662549808,lightftp,snapfuzz,2,l_abs,500
1662549808,lightftp,snapfuzz,2,b_per,27.6
1662549808,lightftp,snapfuzz,2,b_abs,216
1662549856,lightftp,snapfuzz,2,l_per,46.6
1662549856,lightftp,snapfuzz,2,l_abs,526
1662549856,lightftp,snapfuzz,2,b_per,29.8
1662549856,lightftp,snapfuzz,2,b_abs,233
1662549920,lightftp,snapfuzz,2,l_per,52.6
1662549920,lightftp,snapfuzz,2,l_abs,593
1662549920,lightftp,snapfuzz,2,b_per,35.2
1662549920,lightftp,snapfuzz,2,b_abs,275
1662550110,lightftp,snapfuzz,2,l_per,57.4
1662550110,lightftp,snapfuzz,2,l_abs,648
1662550110,lightftp,snapfuzz,2,b_per,39.1
1662550110,lightftp,snapfuzz,2,b_abs,306
1662550529,lightftp,snapfuzz,2,l_per,58.8
1662550529,lightftp,snapfuzz,2,l_abs,663
1662550529,lightftp,snapfuzz,2,b_per,40.7
1662550529,lightftp,snapfuzz,2,b_abs,318
1662552089,lightftp,snapfuzz,2,l_per,59.0
1662552089,lightftp,snapfuzz,2,l_abs,666
1662552089,lightftp,snapfuzz,2,b_per,40.8
1662552089,lightftp,snapfuzz,2,b_abs,319
1662559120,lightftp,snapfuzz,2,l_per,62.8
1662559120,lightftp,snapfuzz,2,l_abs,708
1662559120,lightftp,snapfuzz,2,b_per,42.8
1662559120,lightftp,snapfuzz,2,b_abs,335
1662566572,lightftp,snapfuzz,2,l_per,63.5
1662566572,lightftp,snapfuzz,2,l_abs,716
1662566572,lightftp,snapfuzz,2,b_per,43.4
1662566572,lightftp,snapfuzz,2,b_abs,339
1662575499,lightftp,snapfuzz,2,l_per,63.7
1662575499,lightftp,snapfuzz,2,l_abs,718
1662575499,lightftp,snapfuzz,2,b_per,43.7
1662575499,lightftp,snapfuzz,2,b_abs,342
1662577202,lightftp,snapfuzz,2,l_per,63.7
1662577202,lightftp,snapfuzz,2,l_abs,718
1662577202,lightftp,snapfuzz,2,b_per,43.7
1662577202,lightftp,snapfuzz,2,b_abs,342
1662549764,lightftp,snapfuzz,3,l_per,37.1
1662549764,lightftp,snapfuzz,3,l_abs,418
1662549764,lightftp,snapfuzz,3,b_per,20.8
1662549764,lightftp,snapfuzz,3,b_abs,163
1662549765,lightftp,snapfuzz,3,l_per,38.9
1662549765,lightftp,snapfuzz,3,l_abs,439
1662549765,lightftp,snapfuzz,3,b_per,23.1
1662549765,lightftp,snapfuzz,3,b_abs,181
1662549810,lightftp,snapfuzz,3,l_per,44.4
1662549810,lightftp,snapfuzz,3,l_abs,501
1662549810,lightftp,snapfuzz,3,b_per,27.4
1662549810,lightftp,snapfuzz,3,b_abs,214
1662549871,lightftp,snapfuzz,3,l_per,47.7
1662549871,lightftp,snapfuzz,3,l_abs,538
1662549871,lightftp,snapfuzz,3,b_per,31.5
1662549871,lightftp,snapfuzz,3,b_abs,246
1662549953,lightftp,snapfuzz,3,l_per,56.3
1662549953,lightftp,snapfuzz,3,l_abs,635
1662549953,lightftp,snapfuzz,3,b_per,37.3
1662549953,lightftp,snapfuzz,3,b_abs,292
1662550382,lightftp,snapfuzz,3,l_per,57.6
1662550382,lightftp,snapfuzz,3,l_abs,650
1662550382,lightftp,snapfuzz,3,b_per,39.0
1662550382,lightftp,snapfuzz,3,b_abs,305
1662551598,lightftp,snapfuzz,3,l_per,58.3
1662551598,lightftp,snapfuzz,3,l_abs,658
1662551598,lightftp,snapfuzz,3,b_per,40.0
1662551598,lightftp,snapfuzz,3,b_abs,313
1662555478,lightftp,snapfuzz,3,l_per,59.4
1662555478,lightftp,snapfuzz,3,l_abs,670
1662555478,lightftp,snapfuzz,3,b_per,40.8
1662555478,lightftp,snapfuzz,3,b_abs,319
1662558102,lightftp,snapfuzz,3,l_per,63.0
1662558102,lightftp,snapfuzz,3,l_abs,711
1662558102,lightftp,snapfuzz,3,b_per,42.7
1662558102,lightftp,snapfuzz,3,b_abs,334
1662563824,lightftp,snapfuzz,3,l_per,63.1
1662563824,lightftp,snapfuzz,3,l_abs,712
1662563824,lightftp,snapfuzz,3,b_per,43.1
1662563824,lightftp,snapfuzz,3,b_abs,337
1662570260,lightftp,snapfuzz,3,l_per,63.1
1662570260,lightftp,snapfuzz,3,l_abs,712
1662570260,lightftp,snapfuzz,3,b_per,43.1
1662570260,lightftp,snapfuzz,3,b_abs,337
1662578527,lightftp,snapfuzz,3,l_per,63.4
1662578527,lightftp,snapfuzz,3,l_abs,715
1662578527,lightftp,snapfuzz,3,b_per,43.7
1662578527,lightftp,snapfuzz,3,b_abs,342
1662549766,lightftp,snapfuzz,4,l_per,37.1
1662549766,lightftp,snapfuzz,4,l_abs,418
1662549766,lightftp,snapfuzz,4,b_per,20.8
1662549766,lightftp,snapfuzz,4,b_abs,163
1662549766,lightftp,snapfuzz,4,l_per,38.9
1662549766,lightftp,snapfuzz,4,l_abs,439
1662549766,lightftp,snapfuzz,4,b_per,23.1
1662549766,lightftp,snapfuzz,4,b_abs,181
1662549811,lightftp,snapfuzz,4,l_per,44.8
1662549811,lightftp,snapfuzz,4,l_abs,505
1662549811,lightftp,snapfuzz,4,b_per,27.9
1662549811,lightftp,snapfuzz,4,b_abs,218
1662549866,lightftp,snapfuzz,4,l_per,46.7
1662549866,lightftp,snapfuzz,4,l_abs,527
1662549866,lightftp,snapfuzz,4,b_per,29.9
1662549866,lightftp,snapfuzz,4,b_abs,234
1662549928,lightftp,snapfuzz,4,l_per,55.6
1662549928,lightftp,snapfuzz,4,l_abs,627
1662549928,lightftp,snapfuzz,4,b_per,36.4
1662549928,lightftp,snapfuzz,4,b_abs,285
1662550132,lightftp,snapfuzz,4,l_per,57.0
1662550132,lightftp,snapfuzz,4,l_abs,643
1662550132,lightftp,snapfuzz,4,b_per,38.7
1662550132,lightftp,snapfuzz,4,b_abs,303
1662550439,lightftp,snapfuzz,4,l_per,58.6
1662550439,lightftp,snapfuzz,4,l_abs,661
1662550439,lightftp,snapfuzz,4,b_per,40.4
1662550439,lightftp,snapfuzz,4,b_abs,316
1662551106,lightftp,snapfuzz,4,l_per,59.4
1662551106,lightftp,snapfuzz,4,l_abs,670
1662551106,lightftp,snapfuzz,4,b_per,41.0
1662551106,lightftp,snapfuzz,4,b_abs,321
1662556323,lightftp,snapfuzz,4,l_per,62.9
1662556323,lightftp,snapfuzz,4,l_abs,710
