fuzzer,run_no,time_spent,total_execs,ave_execs_per_sec,b_cov_percent,l_cov_percent
aflnet,1,28796.00,302426.00,10.50,16.40,25.40
aflnet,2,28795.00,320816.00,11.14,16.60,25.90
aflnet,3,28796.00,332498.00,11.55,16.70,26.00
aflnet,4,28796.00,381030.00,13.23,16.70,26.00
snapfuzz,1,28796.00,1073514.00,37.28,16.90,26.10
snapfuzz,2,28796.00,1272257.00,44.18,17.20,26.30
snapfuzz,3,28795.00,1111905.00,38.61,16.70,25.50
snapfuzz,4,28796.00,1051298.00,36.51,16.70,25.90
aflnet,average,28795.75,334192.50,11.61,16.60,25.82
snapfuzz,average,28795.75,1127243.50,39.15,16.88,25.95
