Time,l_per,l_abs,b_per,b_abs
1662599702,14.5,3094,8.7,1434
1662599702,15.1,3237,8.9,1471
1662599704,18.1,3887,10.8,1778
1662599704,20.6,4411,12.1,1996
1662599706,22.4,4819,13.1,2152
1662599706,23.4,5024,13.8,2274
1662599706,24.0,5163,14.3,2349
1662599726,24.3,5218,14.8,2433
1662599750,24.3,5222,14.9,2451
1662599788,24.5,5269,15.2,2508
1662599833,24.6,5282,15.4,2528
1662599916,24.6,5297,15.5,2550
1662600023,24.6,5297,15.5,2551
1662600296,24.6,5298,15.5,2555
1662600491,24.7,5308,15.7,2583
1662600872,24.7,5309,15.7,2592
1662601351,24.7,5318,15.8,2597
1662602052,24.7,5318,15.8,2598
1662602717,24.8,5326,15.8,2607
1662604235,24.8,5326,15.8,2608
1662605875,24.8,5326,15.9,2610
1662608769,24.8,5326,15.9,2612
1662611981,25.1,5405,16.1,2649
1662616639,25.2,5415,16.2,2663
1662621906,25.3,5439,16.3,2681
1662627296,25.4,5457,16.3,2689
1662628338,25.4,5462,16.4,2692
