Time,l_per,l_abs,b_per,b_abs
1662599658,14.5,3094,8.7,1434
1662599658,15.1,3237,8.9,1471
1662599658,18.1,3887,10.8,1778
1662599658,20.6,4411,12.1,1996
1662599658,22.4,4819,13.1,2152
1662599658,23.4,5027,13.8,2275
1662599659,24.0,5166,14.3,2350
1662599682,24.3,5216,14.7,2416
1662599712,24.3,5220,14.8,2438
1662599738,24.3,5223,14.9,2448
1662599773,24.3,5229,15.0,2461
1662599811,24.5,5263,15.1,2490
1662599875,24.5,5270,15.2,2497
1662599948,24.6,5296,15.4,2541
1662600018,24.7,5322,15.6,2568
1662600096,24.7,5322,15.6,2568
1662600217,24.7,5322,15.6,2572
1662600514,24.7,5322,15.7,2580
1662600794,24.8,5325,15.7,2586
1662600937,24.9,5358,16.0,2634
1662601149,25.1,5388,16.1,2653
1662601723,25.1,5400,16.2,2659
1662602575,25.2,5419,16.3,2682
1662603564,25.2,5431,16.3,2687
1662604367,25.3,5447,16.4,2704
1662606099,25.3,5450,16.4,2707
1662607672,25.4,5459,16.5,2716
1662611421,25.4,5466,16.5,2722
1662614556,25.4,5466,16.5,2722
1662617027,25.5,5486,16.6,2739
1662619977,25.5,5488,16.7,2742
1662625034,25.5,5495,16.7,2749
1662628339,25.5,5495,16.7,2750
