time,subject,fuzzer,run,cov_type,cov
1662599656,live555,snapfuzz,1,l_per,14.5
1662599656,live555,snapfuzz,1,l_abs,3094
1662599656,live555,snapfuzz,1,b_per,8.7
1662599656,live555,snapfuzz,1,b_abs,1434
1662599656,live555,snapfuzz,1,l_per,15.1
1662599656,live555,snapfuzz,1,l_abs,3237
1662599656,live555,snapfuzz,1,b_per,8.9
1662599656,live555,snapfuzz,1,b_abs,1471
1662599656,live555,snapfuzz,1,l_per,18.1
1662599656,live555,snapfuzz,1,l_abs,3887
1662599656,live555,snapfuzz,1,b_per,10.8
1662599656,live555,snapfuzz,1,b_abs,1778
1662599656,live555,snapfuzz,1,l_per,20.6
1662599656,live555,snapfuzz,1,l_abs,4411
1662599656,live555,snapfuzz,1,b_per,12.1
1662599656,live555,snapfuzz,1,b_abs,1996
1662599656,live555,snapfuzz,1,l_per,22.4
1662599656,live555,snapfuzz,1,l_abs,4819
1662599656,live555,snapfuzz,1,b_per,13.1
1662599656,live555,snapfuzz,1,b_abs,2152
1662599656,live555,snapfuzz,1,l_per,23.4
1662599656,live555,snapfuzz,1,l_abs,5024
1662599656,live555,snapfuzz,1,b_per,13.8
1662599656,live555,snapfuzz,1,b_abs,2274
1662599656,live555,snapfuzz,1,l_per,24.0
1662599656,live555,snapfuzz,1,l_abs,5163
1662599656,live555,snapfuzz,1,b_per,14.3
1662599656,live555,snapfuzz,1,b_abs,2349
1662599679,live555,snapfuzz,1,l_per,24.3
1662599679,live555,snapfuzz,1,l_abs,5219
1662599679,live555,snapfuzz,1,b_per,14.8
1662599679,live555,snapfuzz,1,b_abs,2437
1662599697,live555,snapfuzz,1,l_per,24.3
1662599697,live555,snapfuzz,1,l_abs,5226
1662599697,live555,snapfuzz,1,b_per,14.9
1662599697,live555,snapfuzz,1,b_abs,2451
1662599722,live555,snapfuzz,1,l_per,24.3
1662599722,live555,snapfuzz,1,l_abs,5233
1662599722,live555,snapfuzz,1,b_per,15.0
1662599722,live555,snapfuzz,1,b_abs,2473
1662599761,live555,snapfuzz,1,l_per,24.5
1662599761,live555,snapfuzz,1,l_abs,5271
1662599761,live555,snapfuzz,1,b_per,15.3
1662599761,live555,snapfuzz,1,b_abs,2512
1662599804,live555,snapfuzz,1,l_per,24.6
1662599804,live555,snapfuzz,1,l_abs,5290
1662599804,live555,snapfuzz,1,b_per,15.4
1662599804,live555,snapfuzz,1,b_abs,2532
1662599861,live555,snapfuzz,1,l_per,24.6
1662599861,live555,snapfuzz,1,l_abs,5295
1662599861,live555,snapfuzz,1,b_per,15.4
1662599861,live555,snapfuzz,1,b_abs,2538
1662599947,live555,snapfuzz,1,l_per,24.7
1662599947,live555,snapfuzz,1,l_abs,5305
1662599947,live555,snapfuzz,1,b_per,15.5
1662599947,live555,snapfuzz,1,b_abs,2550
1662600030,live555,snapfuzz,1,l_per,24.7
1662600030,live555,snapfuzz,1,l_abs,5307
1662600030,live555,snapfuzz,1,b_per,15.5
1662600030,live555,snapfuzz,1,b_abs,2558
1662600106,live555,snapfuzz,1,l_per,24.7
1662600106,live555,snapfuzz,1,l_abs,5315
1662600106,live555,snapfuzz,1,b_per,15.6
1662600106,live555,snapfuzz,1,b_abs,2566
1662600218,live555,snapfuzz,1,l_per,24.7
1662600218,live555,snapfuzz,1,l_abs,5315
1662600218,live555,snapfuzz,1,b_per,15.6
1662600218,live555,snapfuzz,1,b_abs,2571
1662600530,live555,snapfuzz,1,l_per,24.7
1662600530,live555,snapfuzz,1,l_abs,5315
1662600530,live555,snapfuzz,1,b_per,15.6
1662600530,live555,snapfuzz,1,b_abs,2575
1662600725,live555,snapfuzz,1,l_per,24.7
1662600725,live555,snapfuzz,1,l_abs,5316
1662600725,live555,snapfuzz,1,b_per,15.7
1662600725,live555,snapfuzz,1,b_abs,2579
1662600924,live555,snapfuzz,1,l_per,24.7
1662600924,live555,snapfuzz,1,l_abs,5317
1662600924,live555,snapfuzz,1,b_per,15.7
1662600924,live555,snapfuzz,1,b_abs,2580
1662601484,live555,snapfuzz,1,l_per,24.7
1662601484,live555,snapfuzz,1,l_abs,5317
1662601484,live555,snapfuzz,1,b_per,15.7
1662601484,live555,snapfuzz,1,b_abs,2580
1662602162,live555,snapfuzz,1,l_per,25.1
1662602162,live555,snapfuzz,1,l_abs,5405
1662602162,live555,snapfuzz,1,b_per,15.9
1662602162,live555,snapfuzz,1,b_abs,2619
1662603355,live555,snapfuzz,1,l_per,25.1
1662603355,live555,snapfuzz,1,l_abs,5409
1662603355,live555,snapfuzz,1,b_per,15.9
