fuzzer,run_no,time_spent,total_execs,ave_execs_per_sec,b_cov_percent,l_cov_percent
aflnet,1,28795.00,53836.00,1.87,20.20,27.50
aflnet,2,28796.00,37449.00,1.30,24.00,32.10
aflnet,3,25622.00,41224.00,1.61,20.00,27.40
aflnet,4,28795.00,41222.00,1.43,24.90,32.60
snapfuzz,1,28796.00,5445009.00,189.09,26.60,34.00
snapfuzz,2,28796.00,5836083.00,202.67,28.00,34.70
snapfuzz,3,28796.00,6390305.00,221.92,31.20,43.40
snapfuzz,4,28795.00,5847171.00,203.06,26.40,33.80
aflnet,average,28002.00,43432.75,1.55,22.27,29.90
snapfuzz,average,28795.75,5879642.00,204.18,28.05,36.47
