time,subject,fuzzer,run,cov_type,cov
1662635984,tinydtls,snapfuzz,1,l_per,16.2
1662635984,tinydtls,snapfuzz,1,l_abs,534
1662635984,tinydtls,snapfuzz,1,b_per,8.2
1662635984,tinydtls,snapfuzz,1,b_abs,155
1662635984,tinydtls,snapfuzz,1,l_per,16.2
1662635984,tinydtls,snapfuzz,1,l_abs,534
1662635984,tinydtls,snapfuzz,1,b_per,8.2
1662635984,tinydtls,snapfuzz,1,b_abs,155
1662635984,tinydtls,snapfuzz,1,l_per,16.3
1662635984,tinydtls,snapfuzz,1,l_abs,538
1662635984,tinydtls,snapfuzz,1,b_per,8.3
1662635984,tinydtls,snapfuzz,1,b_abs,157
1662635984,tinydtls,snapfuzz,1,l_per,16.3
1662635984,tinydtls,snapfuzz,1,l_abs,538
1662635984,tinydtls,snapfuzz,1,b_per,8.3
1662635984,tinydtls,snapfuzz,1,b_abs,157
1662636011,tinydtls,snapfuzz,1,l_per,26.1
1662636011,tinydtls,snapfuzz,1,l_abs,863
1662636011,tinydtls,snapfuzz,1,b_per,17.9
1662636011,tinydtls,snapfuzz,1,b_abs,340
1662636056,tinydtls,snapfuzz,1,l_per,26.2
1662636056,tinydtls,snapfuzz,1,l_abs,866
1662636056,tinydtls,snapfuzz,1,b_per,18.1
1662636056,tinydtls,snapfuzz,1,b_abs,344
1662636412,tinydtls,snapfuzz,1,l_per,31.5
1662636412,tinydtls,snapfuzz,1,l_abs,1040
1662636412,tinydtls,snapfuzz,1,b_per,23.2
1662636412,tinydtls,snapfuzz,1,b_abs,440
1662636725,tinydtls,snapfuzz,1,l_per,33.2
1662636725,tinydtls,snapfuzz,1,l_abs,1098
1662636725,tinydtls,snapfuzz,1,b_per,25.3
1662636725,tinydtls,snapfuzz,1,b_abs,480
1662637584,tinydtls,snapfuzz,1,l_per,33.5
1662637584,tinydtls,snapfuzz,1,l_abs,1106
1662637584,tinydtls,snapfuzz,1,b_per,25.7
1662637584,tinydtls,snapfuzz,1,b_abs,487
1662638616,tinydtls,snapfuzz,1,l_per,33.7
1662638616,tinydtls,snapfuzz,1,l_abs,1115
1662638616,tinydtls,snapfuzz,1,b_per,26.0
1662638616,tinydtls,snapfuzz,1,b_abs,493
1662639704,tinydtls,snapfuzz,1,l_per,33.8
1662639704,tinydtls,snapfuzz,1,l_abs,1116
1662639704,tinydtls,snapfuzz,1,b_per,26.0
1662639704,tinydtls,snapfuzz,1,b_abs,494
1662641685,tinydtls,snapfuzz,1,l_per,33.8
1662641685,tinydtls,snapfuzz,1,l_abs,1119
1662641685,tinydtls,snapfuzz,1,b_per,26.1
1662641685,tinydtls,snapfuzz,1,b_abs,496
1662658949,tinydtls,snapfuzz,1,l_per,34.0
1662658949,tinydtls,snapfuzz,1,l_abs,1125
1662658949,tinydtls,snapfuzz,1,b_per,26.6
1662658949,tinydtls,snapfuzz,1,b_abs,505
1662635985,tinydtls,snapfuzz,2,l_per,16.2
1662635985,tinydtls,snapfuzz,2,l_abs,534
1662635985,tinydtls,snapfuzz,2,b_per,8.2
1662635985,tinydtls,snapfuzz,2,b_abs,155
1662635985,tinydtls,snapfuzz,2,l_per,16.2
1662635985,tinydtls,snapfuzz,2,l_abs,534
1662635985,tinydtls,snapfuzz,2,b_per,8.2
1662635985,tinydtls,snapfuzz,2,b_abs,155
1662635985,tinydtls,snapfuzz,2,l_per,16.3
1662635985,tinydtls,snapfuzz,2,l_abs,538
1662635985,tinydtls,snapfuzz,2,b_per,8.3
1662635985,tinydtls,snapfuzz,2,b_abs,157
1662635985,tinydtls,snapfuzz,2,l_per,16.3
1662635985,tinydtls,snapfuzz,2,l_abs,538
1662635985,tinydtls,snapfuzz,2,b_per,8.3
1662635985,tinydtls,snapfuzz,2,b_abs,157
1662636008,tinydtls,snapfuzz,2,l_per,26.0
1662636008,tinydtls,snapfuzz,2,l_abs,859
1662636008,tinydtls,snapfuzz,2,b_per,17.8
1662636008,tinydtls,snapfuzz,2,b_abs,337
1662636065,tinydtls,snapfuzz,2,l_per,26.2
1662636065,tinydtls,snapfuzz,2,l_abs,864
1662636065,tinydtls,snapfuzz,2,b_per,18.0
1662636065,tinydtls,snapfuzz,2,b_abs,342
1662636533,tinydtls,snapfuzz,2,l_per,31.2
1662636533,tinydtls,snapfuzz,2,l_abs,1033
1662636533,tinydtls,snapfuzz,2,b_per,22.9
1662636533,tinydtls,snapfuzz,2,b_abs,435
1662636791,tinydtls,snapfuzz,2,l_per,33.0
1662636791,tinydtls,snapfuzz,2,l_abs,1092
1662636791,tinydtls,snapfuzz,2,b_per,25.6
1662636791,tinydtls,snapfuzz,2,b_abs,486
1662637330,tinydtls,snapfuzz,2,l_per,33.7
1662637330,tinydtls,snapfuzz,2,l_abs,1113
1662637330,tinydtls,snapfuzz,2,b_per,26.3
1662637330,tinydtls,snapfuzz,2,b_abs,500
1662638676,tinydtls,snapfuzz,2,l_per,33.8
1662638676,tinydtls,snapfuzz,2,l_abs,1119
1662638676,tinydtls,snapfuzz,2,b_per,27.0
1662638676,tinydtls,snapfuzz,2,b_abs,512
1662642995,tinydtls,snapfuzz,2,l_per,34.6
1662642995,tinydtls,snapfuzz,2,l_abs,1145
1662642995,tinydtls,snapfuzz,2,b_per,27.9
1662642995,tinydtls,snapfuzz,2,b_abs,530
1662652308,tinydtls,snapfuzz,2,l_per,34.7
1662652308,tinydtls,snapfuzz,2,l_abs,1147
1662652308,tinydtls,snapfuzz,2,b_per,28.0
1662652308,tinydtls,snapfuzz,2,b_abs,531
1662652805,tinydtls,snapfuzz,2,l_per,34.7
1662652805,tinydtls,snapfuzz,2,l_abs,1147
1662652805,tinydtls,snapfuzz,2,b_per,28.0
1662652805,tinydtls,snapfuzz,2,b_abs,531
1662635986,tinydtls,snapfuzz,3,l_per,16.2
1662635986,tinydtls,snapfuzz,3,l_abs,534
1662635986,tinydtls,snapfuzz,3,b_per,8.2
1662635986,tinydtls,snapfuzz,3,b_abs,155
1662635986,tinydtls,snapfuzz,3,l_per,16.2
1662635986,tinydtls,snapfuzz,3,l_abs,534
1662635986,tinydtls,snapfuzz,3,b_per,8.2
1662635986,tinydtls,snapfuzz,3,b_abs,155
1662635987,tinydtls,snapfuzz,3,l_per,16.3
1662635987,tinydtls,snapfuzz,3,l_abs,538
1662635987,tinydtls,snapfuzz,3,b_per,8.3
1662635987,tinydtls,snapfuzz,3,b_abs,157
1662635987,tinydtls,snapfuzz,3,l_per,16.3
1662635987,tinydtls,snapfuzz,3,l_abs,538
1662635987,tinydtls,snapfuzz,3,b_per,8.3
1662635987,tinydtls,snapfuzz,3,b_abs,157
1662636013,tinydtls,snapfuzz,3,l_per,26.0
1662636013,tinydtls,snapfuzz,3,l_abs,858
1662636013,tinydtls,snapfuzz,3,b_per,17.5
1662636013,tinydtls,snapfuzz,3,b_abs,332
1662636086,tinydtls,snapfuzz,3,l_per,31.0
1662636086,tinydtls,snapfuzz,3,l_abs,1024
1662636086,tinydtls,snapfuzz,3,b_per,22.2
1662636086,tinydtls,snapfuzz,3,b_abs,422
1662636335,tinydtls,snapfuzz,3,l_per,31.0
1662636335,tinydtls,snapfuzz,3,l_abs,1024
1662636335,tinydtls,snapfuzz,3,b_per,22.2
1662636335,tinydtls,snapfuzz,3,b_abs,422
1662636689,tinydtls,snapfuzz,3,l_per,32.8
1662636689,tinydtls,snapfuzz,3,l_abs,1086
1662636689,tinydtls,snapfuzz,3,b_per,24.7
1662636689,tinydtls,snapfuzz,3,b_abs,468
1662637709,tinydtls,snapfuzz,3,l_per,33.8
1662637709,tinydtls,snapfuzz,3,l_abs,1116
1662637709,tinydtls,snapfuzz,3,b_per,26.4
1662637709,tinydtls,snapfuzz,3,b_abs,502
1662639014,tinydtls,snapfuzz,3,l_per,34.3
1662639014,tinydtls,snapfuzz,3,l_abs,1134
1662639014,tinydtls,snapfuzz,3,b_per,27.3
1662639014,tinydtls,snapfuzz,3,b_abs,519
1662643448,tinydtls,snapfuzz,3,l_per,43.2
1662643448,tinydtls,snapfuzz,3,l_abs,1432
1662643448,tinydtls,snapfuzz,3,b_per,31.0
