fuzzer,run_no,time_spent,total_execs,ave_execs_per_sec,b_cov_percent,l_cov_percent
aflnet-4,1,7196.00,42817.00,5.95,39.60,58.10
aflnet-4,2,7195.00,41290.00,5.74,39.50,58.30
aflnet-4,3,7196.00,44705.00,6.21,40.40,59.00
aflnet-4,4,7195.00,59745.00,8.30,41.90,62.00
snapfuzz-4,1,7195.00,10969.00,1.52,38.60,57.40
snapfuzz-4,2,7196.00,13262.00,1.84,38.00,56.90
snapfuzz-4,3,7195.00,13852.00,1.93,37.20,55.00
snapfuzz-4,4,7196.00,12980.00,1.80,36.60,53.50
aflnet-4,average,7195.50,47139.25,6.55,40.35,59.35
snapfuzz-4,average,7195.50,12765.75,1.77,37.60,55.70
