fuzzer,run_no,time_spent,total_execs,ave_execs_per_sec,b_cov_percent,l_cov_percent
aflnet-4,1,7195.00,89736.00,12.47,16.40,25.50
aflnet-4,2,7195.00,90593.00,12.59,16.00,25.00
aflnet-4,3,7195.00,97907.00,13.61,16.70,25.80
aflnet-4,4,7196.00,101340.00,14.08,16.70,25.90
snapfuzz-4,1,7195.00,343787.00,47.78,17.00,26.20
snapfuzz-4,2,7195.00,409820.00,56.96,16.20,25.30
snapfuzz-4,3,7196.00,388156.00,53.94,16.80,26.00
snapfuzz-4,4,7196.00,340398.00,47.30,16.60,25.90
aflnet-4,average,7195.25,94894.00,13.19,16.45,25.55
snapfuzz-4,average,7195.50,370540.25,51.50,16.65,25.85
