Time,l_per,l_abs,b_per,b_abs
1660631094,9.8,2086,6.1,1005
1660631095,14.8,3165,8.9,1471
1660631095,18.0,3864,10.9,1800
1660631095,20.5,4388,12.3,2018
1660631095,22.3,4796,13.2,2174
1660631095,23.3,5004,14.0,2297
1660631095,23.9,5145,14.4,2373
1660631109,24.3,5231,14.9,2447
1660631117,24.3,5235,15.0,2466
1660631128,24.3,5235,15.0,2467
1660631141,24.3,5235,15.0,2471
1660631152,24.3,5235,15.1,2479
1660631165,24.5,5264,15.2,2497
1660631177,24.5,5266,15.2,2499
1660631194,24.5,5266,15.2,2500
1660631220,24.5,5278,15.2,2510
1660631241,24.6,5279,15.3,2513
1660631274,24.6,5279,15.3,2514
1660631310,24.6,5284,15.3,2520
1660631366,24.6,5291,15.4,2529
1660631395,24.7,5305,15.5,2552
1660631420,24.7,5305,15.5,2553
1660631465,24.7,5305,15.5,2553
1660631502,24.7,5307,15.5,2559
1660631530,24.9,5351,15.6,2574
1660631576,24.9,5353,15.7,2576
1660631627,24.9,5353,15.7,2576
1660631677,24.9,5353,15.7,2578
1660631773,24.9,5353,15.7,2579
1660631851,24.9,5356,15.7,2585
1660631930,24.9,5356,15.7,2588
1660632076,24.9,5356,15.7,2591
1660632287,24.9,5362,15.8,2594
1660632521,25.0,5368,15.8,2608
1660632648,25.1,5394,15.9,2625
1660632860,25.1,5395,16.0,2628
1660632889,25.1,5406,16.0,2640
1660633128,25.5,5495,16.3,2677
1660633257,25.5,5495,16.3,2677
1660633476,25.6,5513,16.3,2689
1660633747,25.8,5558,16.6,2740
1660633972,25.9,5569,16.7,2744
1660634390,25.9,5577,16.7,2753
1660634746,26.1,5611,16.9,2775
1660635200,26.1,5613,16.9,2779
1660635851,26.1,5616,16.9,2780
1660636674,26.1,5616,16.9,2782
1660637592,26.1,5616,16.9,2782
1660638097,26.2,5629,17.0,2792
1660638237,26.2,5634,17.0,2796
