time,subject,fuzzer,run,cov_type,cov
1660631094,live555,snapfuzz-4,1,l_per,9.8
1660631094,live555,snapfuzz-4,1,l_abs,2086
1660631094,live555,snapfuzz-4,1,b_per,6.1
1660631094,live555,snapfuzz-4,1,b_abs,1005
1660631095,live555,snapfuzz-4,1,l_per,14.8
1660631095,live555,snapfuzz-4,1,l_abs,3165
1660631095,live555,snapfuzz-4,1,b_per,8.9
1660631095,live555,snapfuzz-4,1,b_abs,1471
1660631095,live555,snapfuzz-4,1,l_per,18.0
1660631095,live555,snapfuzz-4,1,l_abs,3864
1660631095,live555,snapfuzz-4,1,b_per,10.9
1660631095,live555,snapfuzz-4,1,b_abs,1800
1660631095,live555,snapfuzz-4,1,l_per,20.5
1660631095,live555,snapfuzz-4,1,l_abs,4388
1660631095,live555,snapfuzz-4,1,b_per,12.3
1660631095,live555,snapfuzz-4,1,b_abs,2018
1660631095,live555,snapfuzz-4,1,l_per,22.3
1660631095,live555,snapfuzz-4,1,l_abs,4796
1660631095,live555,snapfuzz-4,1,b_per,13.2
1660631095,live555,snapfuzz-4,1,b_abs,2174
1660631095,live555,snapfuzz-4,1,l_per,23.3
1660631095,live555,snapfuzz-4,1,l_abs,5004
1660631095,live555,snapfuzz-4,1,b_per,14.0
1660631095,live555,snapfuzz-4,1,b_abs,2297
1660631095,live555,snapfuzz-4,1,l_per,23.9
1660631095,live555,snapfuzz-4,1,l_abs,5145
1660631095,live555,snapfuzz-4,1,b_per,14.4
1660631095,live555,snapfuzz-4,1,b_abs,2373
1660631109,live555,snapfuzz-4,1,l_per,24.3
1660631109,live555,snapfuzz-4,1,l_abs,5231
1660631109,live555,snapfuzz-4,1,b_per,14.9
1660631109,live555,snapfuzz-4,1,b_abs,2447
1660631117,live555,snapfuzz-4,1,l_per,24.3
1660631117,live555,snapfuzz-4,1,l_abs,5235
1660631117,live555,snapfuzz-4,1,b_per,15.0
1660631117,live555,snapfuzz-4,1,b_abs,2466
1660631128,live555,snapfuzz-4,1,l_per,24.3
1660631128,live555,snapfuzz-4,1,l_abs,5235
1660631128,live555,snapfuzz-4,1,b_per,15.0
1660631128,live555,snapfuzz-4,1,b_abs,2467
1660631141,live555,snapfuzz-4,1,l_per,24.3
1660631141,live555,snapfuzz-4,1,l_abs,5235
1660631141,live555,snapfuzz-4,1,b_per,15.0
1660631141,live555,snapfuzz-4,1,b_abs,2471
1660631152,live555,snapfuzz-4,1,l_per,24.3
1660631152,live555,snapfuzz-4,1,l_abs,5235
1660631152,live555,snapfuzz-4,1,b_per,15.1
1660631152,live555,snapfuzz-4,1,b_abs,2479
1660631165,live555,snapfuzz-4,1,l_per,24.5
1660631165,live555,snapfuzz-4,1,l_abs,5264
1660631165,live555,snapfuzz-4,1,b_per,15.2
1660631165,live555,snapfuzz-4,1,b_abs,2497
1660631177,live555,snapfuzz-4,1,l_per,24.5
1660631177,live555,snapfuzz-4,1,l_abs,5266
1660631177,live555,snapfuzz-4,1,b_per,15.2
1660631177,live555,snapfuzz-4,1,b_abs,2499
1660631194,live555,snapfuzz-4,1,l_per,24.5
1660631194,live555,snapfuzz-4,1,l_abs,5266
1660631194,live555,snapfuzz-4,1,b_per,15.2
1660631194,live555,snapfuzz-4,1,b_abs,2500
1660631220,live555,snapfuzz-4,1,l_per,24.5
1660631220,live555,snapfuzz-4,1,l_abs,5278
1660631220,live555,snapfuzz-4,1,b_per,15.2
1660631220,live555,snapfuzz-4,1,b_abs,2510
1660631241,live555,snapfuzz-4,1,l_per,24.6
1660631241,live555,snapfuzz-4,1,l_abs,5279
1660631241,live555,snapfuzz-4,1,b_per,15.3
1660631241,live555,snapfuzz-4,1,b_abs,2513
1660631274,live555,snapfuzz-4,1,l_per,24.6
1660631274,live555,snapfuzz-4,1,l_abs,5279
1660631274,live555,snapfuzz-4,1,b_per,15.3
1660631274,live555,snapfuzz-4,1,b_abs,2514
1660631310,live555,snapfuzz-4,1,l_per,24.6
1660631310,live555,snapfuzz-4,1,l_abs,5284
1660631310,live555,snapfuzz-4,1,b_per,15.3
1660631310,live555,snapfuzz-4,1,b_abs,2520
1660631366,live555,snapfuzz-4,1,l_per,24.6
1660631366,live555,snapfuzz-4,1,l_abs,5291
1660631366,live555,snapfuzz-4,1,b_per,15.4
1660631366,live555,snapfuzz-4,1,b_abs,2529
1660631395,live555,snapfuzz-4,1,l_per,24.7
1660631395,live555,snapfuzz-4,1,l_abs,5305
1660631395,live555,snapfuzz-4,1,b_per,15.5
1660631395,live555,snapfuzz-4,1,b_abs,2552
1660631420,live555,snapfuzz-4,1,l_per,24.7
1660631420,live555,snapfuzz-4,1,l_abs,5305
1660631420,live555,snapfuzz-4,1,b_per,15.5
1660631420,live555,snapfuzz-4,1,b_abs,2553
1660631465,live555,snapfuzz-4,1,l_per,24.7
1660631465,live555,snapfuzz-4,1,l_abs,5305
1660631465,live555,snapfuzz-4,1,b_per,15.5
1660631465,live555,snapfuzz-4,1,b_abs,2553
1660631502,live555,snapfuzz-4,1,l_per,24.7
1660631502,live555,snapfuzz-4,1,l_abs,5307
1660631502,live555,snapfuzz-4,1,b_per,15.5
1660631502,live555,snapfuzz-4,1,b_abs,2559
1660631530,live555,snapfuzz-4,1,l_per,24.9
1660631530,live555,snapfuzz-4,1,l_abs,5351
1660631530,live555,snapfuzz-4,1,b_per,15.6
1660631530,live555,snapfuzz-4,1,b_abs,2574
1660631576,live555,snapfuzz-4,1,l_per,24.9
1660631576,live555,snapfuzz-4,1,l_abs,5353
1660631576,live555,snapfuzz-4,1,b_per,15.7
1660631576,live555,snapfuzz-4,1,b_abs,2576
1660631627,live555,snapfuzz-4,1,l_per,24.9
1660631627,live555,snapfuzz-4,1,l_abs,5353
1660631627,live555,snapfuzz-4,1,b_per,15.7
1660631627,live555,snapfuzz-4,1,b_abs,2576
1660631677,live555,snapfuzz-4,1,l_per,24.9
1660631677,live555,snapfuzz-4,1,l_abs,5353
1660631677,live555,snapfuzz-4,1,b_per,15.7
1660631677,live555,snapfuzz-4,1,b_abs,2578
1660631773,live555,snapfuzz-4,1,l_per,24.9
1660631773,live555,snapfuzz-4,1,l_abs,5353
1660631773,live555,snapfuzz-4,1,b_per,15.7
1660631773,live555,snapfuzz-4,1,b_abs,2579
1660631851,live555,snapfuzz-4,1,l_per,24.9
1660631851,live555,snapfuzz-4,1,l_abs,5356
1660631851,live555,snapfuzz-4,1,b_per,15.7
1660631851,live555,snapfuzz-4,1,b_abs,2585
1660631930,live555,snapfuzz-4,1,l_per,24.9
1660631930,live555,snapfuzz-4,1,l_abs,5356
1660631930,live555,snapfuzz-4,1,b_per,15.7
1660631930,live555,snapfuzz-4,1,b_abs,2588
1660632076,live555,snapfuzz-4,1,l_per,24.9
1660632076,live555,snapfuzz-4,1,l_abs,5356
1660632076,live555,snapfuzz-4,1,b_per,15.7
1660632076,live555,snapfuzz-4,1,b_abs,2591
1660632287,live555,snapfuzz-4,1,l_per,24.9
1660632287,live555,snapfuzz-4,1,l_abs,5362
1660632287,live555,snapfuzz-4,1,b_per,15.8
1660632287,live555,snapfuzz-4,1,b_abs,2594
1660632521,live555,snapfuzz-4,1,l_per,25.0
1660632521,live555,snapfuzz-4,1,l_abs,5368
1660632521,live555,snapfuzz-4,1,b_per,15.8
1660632521,live555,snapfuzz-4,1,b_abs,2608
1660632648,live555,snapfuzz-4,1,l_per,25.1
1660632648,live555,snapfuzz-4,1,l_abs,5394
1660632648,live555,snapfuzz-4,1,b_per,15.9
1660632648,live555,snapfuzz-4,1,b_abs,2625
1660632860,live555,snapfuzz-4,1,l_per,25.1
1660632860,live555,snapfuzz-4,1,l_abs,5395
1660632860,live555,snapfuzz-4,1,b_per,16.0
1660632860,live555,snapfuzz-4,1,b_abs,2628
1660632889,live555,snapfuzz-4,1,l_per,25.1
1660632889,live555,snapfuzz-4,1,l_abs,5406
1660632889,live555,snapfuzz-4,1,b_per,16.0
1660632889,live555,snapfuzz-4,1,b_abs,2640
1660633128,live555,snapfuzz-4,1,l_per,25.5
1660633128,live555,snapfuzz-4,1,l_abs,5495
1660633128,live555,snapfuzz-4,1,b_per,16.3
1660633128,live555,snapfuzz-4,1,b_abs,2677
1660633257,live555,snapfuzz-4,1,l_per,25.5
1660633257,live555,snapfuzz-4,1,l_abs,5495
1660633257,live555,snapfuzz-4,1,b_per,16.3
1660633257,live555,snapfuzz-4,1,b_abs,2677
1660633476,live555,snapfuzz-4,1,l_per,25.6
1660633476,live555,snapfuzz-4,1,l_abs,5513
