Time,l_per,l_abs,b_per,b_abs
1660559651,16.2,534,8.2,155
1660559651,16.2,534,8.2,155
1660559651,16.3,538,8.3,157
1660559651,16.3,538,8.3,157
1660559662,25.7,847,17.1,324
1660559684,26.0,860,17.9,340
1660559704,26.2,864,18.0,342
1660559733,26.2,865,18.1,343
1660559803,26.2,865,18.1,343
1660560180,31.4,1038,23.0,436
1660560355,31.9,1056,24.0,455
1660560546,32.4,1071,24.4,463
1660561192,32.8,1083,24.7,469
1660562100,33.2,1097,25.2,478
1660562613,33.2,1097,25.2,478
1660563515,33.3,1102,25.4,483
1660564229,33.4,1105,25.7,488
1660566424,33.5,1108,26.1,496
1660566847,33.8,1117,26.2,498
