Time,l_per,l_abs,b_per,b_abs
1662332322,9.0,1145,5.6,675
1662332349,9.9,1254,6.1,729
1662332384,10.2,1291,6.4,762
1662332439,10.2,1293,6.4,765
1662332509,10.2,1293,6.4,765
1662332665,10.2,1298,6.4,769
1662332798,10.2,1298,6.4,769
1662332922,10.4,1315,6.5,783
1662333114,10.6,1348,6.8,815
1662333354,11.1,1409,7.1,853
1662333706,11.1,1411,7.2,856
1662333832,11.1,1412,7.2,857
1662334592,11.1,1412,7.2,857
1662335434,11.1,1412,7.2,857
1662336314,11.1,1414,7.2,860
1662337808,11.2,1423,7.2,866
1662339418,11.2,1423,7.2,867
