Time,l_per,l_abs,b_per,b_abs
1660655371,9.0,1145,5.6,675
1660655397,9.9,1260,6.1,735
1660655428,10.2,1294,6.4,766
1660655496,10.2,1298,6.4,769
1660655577,10.2,1298,6.4,769
1660655674,10.2,1298,6.4,769
1660655835,10.2,1298,6.4,769
1660655944,10.2,1298,6.4,769
1660656129,10.4,1318,6.6,786
1660656304,10.5,1333,6.7,796
1660656586,10.6,1344,6.8,811
1660656931,10.6,1346,6.8,814
1660657393,10.6,1348,6.8,816
1660657772,10.6,1348,6.8,816
1660658687,10.6,1348,6.8,816
1660659276,10.6,1349,6.8,817
1660660709,10.6,1349,6.8,817
1660662551,10.7,1354,6.9,820
