Time,l_per,l_abs,b_per,b_abs
1662332427,12.3,1560,8.0,953
1662332435,12.7,1607,8.4,1000
1662332448,12.7,1609,8.4,1002
1662332488,12.7,1609,8.4,1004
1662332584,12.7,1613,8.4,1007
1662332649,12.7,1613,8.4,1007
1662332800,12.7,1613,8.4,1007
1662332863,12.9,1641,8.6,1027
1662332995,12.9,1643,8.6,1033
1662333305,12.9,1644,8.7,1035
1662333552,13.0,1645,8.7,1036
1662333891,13.0,1645,8.7,1036
1662334628,13.0,1645,8.7,1036
1662337725,13.0,1645,8.7,1036
1662339464,13.0,1645,8.7,1036
1662339573,13.0,1645,8.7,1036
