Time,l_per,l_abs,b_per,b_abs
1660642855,12.3,1560,8.0,953
1660642863,12.7,1612,8.4,1006
1660642875,12.7,1614,8.4,1010
1660642889,12.7,1614,8.4,1010
1660642924,12.7,1614,8.5,1011
1660642998,12.7,1615,8.5,1012
1660643093,12.7,1615,8.5,1013
1660643143,12.7,1615,8.5,1013
1660643279,12.8,1625,8.5,1018
1660643529,13.0,1650,8.7,1036
1660643746,13.0,1651,8.7,1037
1660644099,13.2,1678,8.8,1050
1660644441,13.2,1678,8.8,1050
1660645110,13.2,1678,8.8,1050
1660647700,13.2,1679,8.8,1052
1660649803,13.2,1679,8.8,1052
