time,subject,fuzzer,run,cov_type,cov
1662332425,dnsmasq,snapfuzz,1,l_per,12.3
1662332425,dnsmasq,snapfuzz,1,l_abs,1560
1662332425,dnsmasq,snapfuzz,1,b_per,8.0
1662332425,dnsmasq,snapfuzz,1,b_abs,953
1662332435,dnsmasq,snapfuzz,1,l_per,12.6
1662332435,dnsmasq,snapfuzz,1,l_abs,1603
1662332435,dnsmasq,snapfuzz,1,b_per,8.3
1662332435,dnsmasq,snapfuzz,1,b_abs,998
1662332442,dnsmasq,snapfuzz,1,l_per,12.7
1662332442,dnsmasq,snapfuzz,1,l_abs,1607
1662332442,dnsmasq,snapfuzz,1,b_per,8.4
1662332442,dnsmasq,snapfuzz,1,b_abs,1001
1662332483,dnsmasq,snapfuzz,1,l_per,12.7
1662332483,dnsmasq,snapfuzz,1,l_abs,1613
1662332483,dnsmasq,snapfuzz,1,b_per,8.4
1662332483,dnsmasq,snapfuzz,1,b_abs,1006
1662332562,dnsmasq,snapfuzz,1,l_per,12.7
1662332562,dnsmasq,snapfuzz,1,l_abs,1614
1662332562,dnsmasq,snapfuzz,1,b_per,8.4
1662332562,dnsmasq,snapfuzz,1,b_abs,1010
1662332573,dnsmasq,snapfuzz,1,l_per,12.9
1662332573,dnsmasq,snapfuzz,1,l_abs,1637
1662332573,dnsmasq,snapfuzz,1,b_per,8.6
1662332573,dnsmasq,snapfuzz,1,b_abs,1025
1662332610,dnsmasq,snapfuzz,1,l_per,12.9
1662332610,dnsmasq,snapfuzz,1,l_abs,1638
1662332610,dnsmasq,snapfuzz,1,b_per,8.6
1662332610,dnsmasq,snapfuzz,1,b_abs,1026
1662332650,dnsmasq,snapfuzz,1,l_per,12.9
1662332650,dnsmasq,snapfuzz,1,l_abs,1639
1662332650,dnsmasq,snapfuzz,1,b_per,8.6
1662332650,dnsmasq,snapfuzz,1,b_abs,1028
1662332710,dnsmasq,snapfuzz,1,l_per,12.9
1662332710,dnsmasq,snapfuzz,1,l_abs,1640
1662332710,dnsmasq,snapfuzz,1,b_per,8.6
1662332710,dnsmasq,snapfuzz,1,b_abs,1029
1662332828,dnsmasq,snapfuzz,1,l_per,12.9
1662332828,dnsmasq,snapfuzz,1,l_abs,1644
1662332828,dnsmasq,snapfuzz,1,b_per,8.6
1662332828,dnsmasq,snapfuzz,1,b_abs,1033
1662332999,dnsmasq,snapfuzz,1,l_per,12.9
1662332999,dnsmasq,snapfuzz,1,l_abs,1644
1662332999,dnsmasq,snapfuzz,1,b_per,8.6
1662332999,dnsmasq,snapfuzz,1,b_abs,1033
1662333395,dnsmasq,snapfuzz,1,l_per,12.9
1662333395,dnsmasq,snapfuzz,1,l_abs,1644
1662333395,dnsmasq,snapfuzz,1,b_per,8.6
1662333395,dnsmasq,snapfuzz,1,b_abs,1033
1662333967,dnsmasq,snapfuzz,1,l_per,12.9
1662333967,dnsmasq,snapfuzz,1,l_abs,1644
1662333967,dnsmasq,snapfuzz,1,b_per,8.6
1662333967,dnsmasq,snapfuzz,1,b_abs,1034
1662334775,dnsmasq,snapfuzz,1,l_per,13.2
1662334775,dnsmasq,snapfuzz,1,l_abs,1671
1662334775,dnsmasq,snapfuzz,1,b_per,8.8
1662334775,dnsmasq,snapfuzz,1,b_abs,1048
1662336554,dnsmasq,snapfuzz,1,l_per,13.2
1662336554,dnsmasq,snapfuzz,1,l_abs,1679
1662336554,dnsmasq,snapfuzz,1,b_per,8.8
1662336554,dnsmasq,snapfuzz,1,b_abs,1052
1662339401,dnsmasq,snapfuzz,1,l_per,13.2
1662339401,dnsmasq,snapfuzz,1,l_abs,1679
1662339401,dnsmasq,snapfuzz,1,b_per,8.8
1662339401,dnsmasq,snapfuzz,1,b_abs,1052
1662332427,dnsmasq,snapfuzz,2,l_per,12.3
1662332427,dnsmasq,snapfuzz,2,l_abs,1560
1662332427,dnsmasq,snapfuzz,2,b_per,8.0
1662332427,dnsmasq,snapfuzz,2,b_abs,953
1662332435,dnsmasq,snapfuzz,2,l_per,12.7
1662332435,dnsmasq,snapfuzz,2,l_abs,1607
1662332435,dnsmasq,snapfuzz,2,b_per,8.4
1662332435,dnsmasq,snapfuzz,2,b_abs,1000
1662332448,dnsmasq,snapfuzz,2,l_per,12.7
1662332448,dnsmasq,snapfuzz,2,l_abs,1609
1662332448,dnsmasq,snapfuzz,2,b_per,8.4
1662332448,dnsmasq,snapfuzz,2,b_abs,1002
1662332488,dnsmasq,snapfuzz,2,l_per,12.7
1662332488,dnsmasq,snapfuzz,2,l_abs,1609
1662332488,dnsmasq,snapfuzz,2,b_per,8.4
1662332488,dnsmasq,snapfuzz,2,b_abs,1004
1662332584,dnsmasq,snapfuzz,2,l_per,12.7
1662332584,dnsmasq,snapfuzz,2,l_abs,1613
1662332584,dnsmasq,snapfuzz,2,b_per,8.4
1662332584,dnsmasq,snapfuzz,2,b_abs,1007
1662332649,dnsmasq,snapfuzz,2,l_per,12.7
1662332649,dnsmasq,snapfuzz,2,l_abs,1613
1662332649,dnsmasq,snapfuzz,2,b_per,8.4
1662332649,dnsmasq,snapfuzz,2,b_abs,1007
1662332800,dnsmasq,snapfuzz,2,l_per,12.7
1662332800,dnsmasq,snapfuzz,2,l_abs,1613
1662332800,dnsmasq,snapfuzz,2,b_per,8.4
1662332800,dnsmasq,snapfuzz,2,b_abs,1007
1662332863,dnsmasq,snapfuzz,2,l_per,12.9
1662332863,dnsmasq,snapfuzz,2,l_abs,1641
1662332863,dnsmasq,snapfuzz,2,b_per,8.6
1662332863,dnsmasq,snapfuzz,2,b_abs,1027
1662332995,dnsmasq,snapfuzz,2,l_per,12.9
1662332995,dnsmasq,snapfuzz,2,l_abs,1643
1662332995,dnsmasq,snapfuzz,2,b_per,8.6
1662332995,dnsmasq,snapfuzz,2,b_abs,1033
1662333305,dnsmasq,snapfuzz,2,l_per,12.9
1662333305,dnsmasq,snapfuzz,2,l_abs,1644
1662333305,dnsmasq,snapfuzz,2,b_per,8.7
1662333305,dnsmasq,snapfuzz,2,b_abs,1035
1662333552,dnsmasq,snapfuzz,2,l_per,13.0
1662333552,dnsmasq,snapfuzz,2,l_abs,1645
1662333552,dnsmasq,snapfuzz,2,b_per,8.7
1662333552,dnsmasq,snapfuzz,2,b_abs,1036
1662333891,dnsmasq,snapfuzz,2,l_per,13.0
1662333891,dnsmasq,snapfuzz,2,l_abs,1645
1662333891,dnsmasq,snapfuzz,2,b_per,8.7
1662333891,dnsmasq,snapfuzz,2,b_abs,1036
1662334628,dnsmasq,snapfuzz,2,l_per,13.0
1662334628,dnsmasq,snapfuzz,2,l_abs,1645
1662334628,dnsmasq,snapfuzz,2,b_per,8.7
1662334628,dnsmasq,snapfuzz,2,b_abs,1036
1662337725,dnsmasq,snapfuzz,2,l_per,13.0
1662337725,dnsmasq,snapfuzz,2,l_abs,1645
1662337725,dnsmasq,snapfuzz,2,b_per,8.7
1662337725,dnsmasq,snapfuzz,2,b_abs,1036
1662339464,dnsmasq,snapfuzz,2,l_per,13.0
1662339464,dnsmasq,snapfuzz,2,l_abs,1645
1662339464,dnsmasq,snapfuzz,2,b_per,8.7
1662339464,dnsmasq,snapfuzz,2,b_abs,1036
1662339573,dnsmasq,snapfuzz,2,l_per,13.0
1662339573,dnsmasq,snapfuzz,2,l_abs,1645
1662339573,dnsmasq,snapfuzz,2,b_per,8.7
1662339573,dnsmasq,snapfuzz,2,b_abs,1036
1662332428,dnsmasq,snapfuzz,3,l_per,12.3
1662332428,dnsmasq,snapfuzz,3,l_abs,1560
1662332428,dnsmasq,snapfuzz,3,b_per,8.0
1662332428,dnsmasq,snapfuzz,3,b_abs,953
1662332437,dnsmasq,snapfuzz,3,l_per,12.6
1662332437,dnsmasq,snapfuzz,3,l_abs,1604
1662332437,dnsmasq,snapfuzz,3,b_per,8.4
1662332437,dnsmasq,snapfuzz,3,b_abs,1000
1662332452,dnsmasq,snapfuzz,3,l_per,12.7
1662332452,dnsmasq,snapfuzz,3,l_abs,1611
1662332452,dnsmasq,snapfuzz,3,b_per,8.4
1662332452,dnsmasq,snapfuzz,3,b_abs,1006
1662332482,dnsmasq,snapfuzz,3,l_per,12.7
1662332482,dnsmasq,snapfuzz,3,l_abs,1616
1662332482,dnsmasq,snapfuzz,3,b_per,8.5
1662332482,dnsmasq,snapfuzz,3,b_abs,1014
1662332545,dnsmasq,snapfuzz,3,l_per,12.7
1662332545,dnsmasq,snapfuzz,3,l_abs,1617
1662332545,dnsmasq,snapfuzz,3,b_per,8.5
1662332545,dnsmasq,snapfuzz,3,b_abs,1015
1662332568,dnsmasq,snapfuzz,3,l_per,12.8
1662332568,dnsmasq,snapfuzz,3,l_abs,1620
1662332568,dnsmasq,snapfuzz,3,b_per,8.5
1662332568,dnsmasq,snapfuzz,3,b_abs,1017
1662332727,dnsmasq,snapfuzz,3,l_per,12.9
1662332727,dnsmasq,snapfuzz,3,l_abs,1642
1662332727,dnsmasq,snapfuzz,3,b_per,8.6
1662332727,dnsmasq,snapfuzz,3,b_abs,1031
1662332883,dnsmasq,snapfuzz,3,l_per,12.9
1662332883,dnsmasq,snapfuzz,3,l_abs,1644
1662332883,dnsmasq,snapfuzz,3,b_per,8.6
1662332883,dnsmasq,snapfuzz,3,b_abs,1034
1662333059,dnsmasq,snapfuzz,3,l_per,12.9
1662333059,dnsmasq,snapfuzz,3,l_abs,1644
1662333059,dnsmasq,snapfuzz,3,b_per,8.7
1662333059,dnsmasq,snapfuzz,3,b_abs,1035
1662333375,dnsmasq,snapfuzz,3,l_per,13.0
1662333375,dnsmasq,snapfuzz,3,l_abs,1645
1662333375,dnsmasq,snapfuzz,3,b_per,8.7
1662333375,dnsmasq,snapfuzz,3,b_abs,1036
1662333796,dnsmasq,snapfuzz,3,l_per,13.2
1662333796,dnsmasq,snapfuzz,3,l_abs,1679
1662333796,dnsmasq,snapfuzz,3,b_per,8.8
1662333796,dnsmasq,snapfuzz,3,b_abs,1055
1662335034,dnsmasq,snapfuzz,3,l_per,13.2
1662335034,dnsmasq,snapfuzz,3,l_abs,1680
1662335034,dnsmasq,snapfuzz,3,b_per,8.8
1662335034,dnsmasq,snapfuzz,3,b_abs,1057
1662337113,dnsmasq,snapfuzz,3,l_per,13.3
1662337113,dnsmasq,snapfuzz,3,l_abs,1689
1662337113,dnsmasq,snapfuzz,3,b_per,8.9
1662337113,dnsmasq,snapfuzz,3,b_abs,1065
1662339550,dnsmasq,snapfuzz,3,l_per,13.4
1662339550,dnsmasq,snapfuzz,3,l_abs,1699
1662339550,dnsmasq,snapfuzz,3,b_per,9.0
1662339550,dnsmasq,snapfuzz,3,b_abs,1076
1662332430,dnsmasq,snapfuzz,4,l_per,12.3
1662332430,dnsmasq,snapfuzz,4,l_abs,1560
1662332430,dnsmasq,snapfuzz,4,b_per,8.0
