fuzzer,run_no,time_spent,total_execs,ave_execs_per_sec,b_cov_percent,l_cov_percent
aflnet-4,1,7196,42817,5.950111172873819,39.6,58.1
aflnet-4,2,7195,41290,5.73870743571925,39.5,58.3
aflnet-4,3,7196,44705,6.212479155086159,40.4,59.0
aflnet-4,4,7195,59745,8.303683113273106,41.9,62.0
snapfuzz-4,1,7195,10969,1.5245309242529534,38.6,57.4
snapfuzz-4,2,7196,13262,1.8429683157309615,38.0,56.9
snapfuzz-4,3,7195,13852,1.925225851285615,37.2,55.0
snapfuzz-4,4,7196,12980,1.8037798777098388,36.6,53.5
aflnet-4,average,7195.5,47139.25,6.5512452192380835,40.35,59.35
snapfuzz-4,average,7195.5,12765.75,1.774126242244842,37.6,55.7
