Time,l_per,l_abs,b_per,b_abs
1662340788,37.1,418,20.8,163
1662340789,38.9,439,23.1,181
1662340804,42.3,477,26.1,204
1662340836,44.1,498,27.4,214
1662340863,45.1,509,27.9,218
1662340897,48.7,549,30.3,237
1662340918,50.4,569,32.4,253
1662340953,55.3,624,36.6,286
1662341008,56.4,636,38.0,297
1662341100,57.7,651,39.3,307
1662341269,58.3,658,40.0,313
1662341431,58.8,663,40.5,317
1662341652,59.4,670,41.0,321
1662342130,59.4,670,41.0,321
1662342364,62.7,707,42.7,334
1662342986,62.7,707,42.8,335
1662343837,62.7,707,42.8,335
1662345039,62.9,710,43.1,337
1662346678,64.6,729,45.1,353
1662347833,64.6,729,45.3,354
