Time,l_per,l_abs,b_per,b_abs
1662369325,37.1,418,20.8,163
1662369326,38.9,439,23.1,181
1662369338,42.1,475,26.1,204
1662369371,44.5,502,27.4,214
1662369387,45.8,517,28.4,222
1662369424,46.9,529,30.3,237
1662369446,52.9,597,33.9,265
1662369512,56.0,632,37.2,291
1662369574,56.7,640,38.2,299
1662369625,56.7,640,38.2,299
1662369725,57.4,647,38.9,304
1662369880,59.1,667,40.7,318
1662370003,59.4,670,41.0,321
1662370237,59.7,673,41.2,322
1662370551,59.7,673,41.3,323
1662370864,59.8,674,41.4,324
1662371351,63.0,711,43.2,338
1662372095,63.0,711,43.2,338
1662372572,63.0,711,43.2,338
1662373185,63.0,711,43.2,338
1662374715,63.0,711,43.2,338
1662376066,63.0,711,43.2,338
1662376435,63.0,711,43.2,338
