time,subject,fuzzer,run,cov_type,cov
1660595738,lightftp,snapfuzz-4,1,l_per,37.1
1660595738,lightftp,snapfuzz-4,1,l_abs,418
1660595738,lightftp,snapfuzz-4,1,b_per,20.8
1660595738,lightftp,snapfuzz-4,1,b_abs,163
1660595744,lightftp,snapfuzz-4,1,l_per,38.9
1660595744,lightftp,snapfuzz-4,1,l_abs,439
1660595744,lightftp,snapfuzz-4,1,b_per,23.1
1660595744,lightftp,snapfuzz-4,1,b_abs,181
1660595761,lightftp,snapfuzz-4,1,l_per,42.1
1660595761,lightftp,snapfuzz-4,1,l_abs,475
1660595761,lightftp,snapfuzz-4,1,b_per,26.0
1660595761,lightftp,snapfuzz-4,1,b_abs,203
1660595779,lightftp,snapfuzz-4,1,l_per,43.7
1660595779,lightftp,snapfuzz-4,1,l_abs,493
1660595779,lightftp,snapfuzz-4,1,b_per,27.0
1660595779,lightftp,snapfuzz-4,1,b_abs,211
1660595947,lightftp,snapfuzz-4,1,l_per,47.1
1660595947,lightftp,snapfuzz-4,1,l_abs,531
1660595947,lightftp,snapfuzz-4,1,b_per,29.3
1660595947,lightftp,snapfuzz-4,1,b_abs,229
1660597466,lightftp,snapfuzz-4,1,l_per,50.4
1660597466,lightftp,snapfuzz-4,1,l_abs,569
1660597466,lightftp,snapfuzz-4,1,b_per,32.5
1660597466,lightftp,snapfuzz-4,1,b_abs,254
1660598625,lightftp,snapfuzz-4,1,l_per,51.5
1660598625,lightftp,snapfuzz-4,1,l_abs,581
1660598625,lightftp,snapfuzz-4,1,b_per,33.8
1660598625,lightftp,snapfuzz-4,1,b_abs,264
1660599941,lightftp,snapfuzz-4,1,l_per,53.5
1660599941,lightftp,snapfuzz-4,1,l_abs,603
1660599941,lightftp,snapfuzz-4,1,b_per,35.8
1660599941,lightftp,snapfuzz-4,1,b_abs,280
1660602186,lightftp,snapfuzz-4,1,l_per,54.6
1660602186,lightftp,snapfuzz-4,1,l_abs,616
1660602186,lightftp,snapfuzz-4,1,b_per,37.2
1660602186,lightftp,snapfuzz-4,1,b_abs,291
1660602631,lightftp,snapfuzz-4,1,l_per,57.4
1660602631,lightftp,snapfuzz-4,1,l_abs,648
1660602631,lightftp,snapfuzz-4,1,b_per,38.6
1660602631,lightftp,snapfuzz-4,1,b_abs,302
1660595732,lightftp,snapfuzz-4,2,l_per,37.1
1660595732,lightftp,snapfuzz-4,2,l_abs,418
1660595732,lightftp,snapfuzz-4,2,b_per,20.8
1660595732,lightftp,snapfuzz-4,2,b_abs,163
1660595736,lightftp,snapfuzz-4,2,l_per,38.9
1660595736,lightftp,snapfuzz-4,2,l_abs,439
1660595736,lightftp,snapfuzz-4,2,b_per,23.1
1660595736,lightftp,snapfuzz-4,2,b_abs,181
1660595757,lightftp,snapfuzz-4,2,l_per,42.6
1660595757,lightftp,snapfuzz-4,2,l_abs,481
1660595757,lightftp,snapfuzz-4,2,b_per,26.2
1660595757,lightftp,snapfuzz-4,2,b_abs,205
1660595769,lightftp,snapfuzz-4,2,l_per,44.3
1660595769,lightftp,snapfuzz-4,2,l_abs,500
1660595769,lightftp,snapfuzz-4,2,b_per,27.2
1660595769,lightftp,snapfuzz-4,2,b_abs,213
1660595809,lightftp,snapfuzz-4,2,l_per,45.1
1660595809,lightftp,snapfuzz-4,2,l_abs,509
1660595809,lightftp,snapfuzz-4,2,b_per,27.7
1660595809,lightftp,snapfuzz-4,2,b_abs,217
1660596739,lightftp,snapfuzz-4,2,l_per,46.5
1660596739,lightftp,snapfuzz-4,2,l_abs,525
1660596739,lightftp,snapfuzz-4,2,b_per,30.1
1660596739,lightftp,snapfuzz-4,2,b_abs,235
1660598202,lightftp,snapfuzz-4,2,l_per,50.3
1660598202,lightftp,snapfuzz-4,2,l_abs,567
1660598202,lightftp,snapfuzz-4,2,b_per,32.9
1660598202,lightftp,snapfuzz-4,2,b_abs,257
1660599916,lightftp,snapfuzz-4,2,l_per,55.9
1660599916,lightftp,snapfuzz-4,2,l_abs,630
1660599916,lightftp,snapfuzz-4,2,b_per,37.1
1660599916,lightftp,snapfuzz-4,2,b_abs,290
1660601164,lightftp,snapfuzz-4,2,l_per,56.4
1660601164,lightftp,snapfuzz-4,2,l_abs,636
1660601164,lightftp,snapfuzz-4,2,b_per,37.7
1660601164,lightftp,snapfuzz-4,2,b_abs,295
1660602769,lightftp,snapfuzz-4,2,l_per,56.9
1660602769,lightftp,snapfuzz-4,2,l_abs,642
1660602769,lightftp,snapfuzz-4,2,b_per,38.0
1660602769,lightftp,snapfuzz-4,2,b_abs,297
1660595729,lightftp,snapfuzz-4,3,l_per,37.1
1660595729,lightftp,snapfuzz-4,3,l_abs,418
1660595729,lightftp,snapfuzz-4,3,b_per,20.8
1660595729,lightftp,snapfuzz-4,3,b_abs,163
1660595739,lightftp,snapfuzz-4,3,l_per,38.9
1660595739,lightftp,snapfuzz-4,3,l_abs,439
1660595739,lightftp,snapfuzz-4,3,b_per,23.1
1660595739,lightftp,snapfuzz-4,3,b_abs,181
1660595757,lightftp,snapfuzz-4,3,l_per,42.4
1660595757,lightftp,snapfuzz-4,3,l_abs,478
1660595757,lightftp,snapfuzz-4,3,b_per,26.3
1660595757,lightftp,snapfuzz-4,3,b_abs,206
1660595771,lightftp,snapfuzz-4,3,l_per,43.6
1660595771,lightftp,snapfuzz-4,3,l_abs,492
1660595771,lightftp,snapfuzz-4,3,b_per,27.1
1660595771,lightftp,snapfuzz-4,3,b_abs,212
1660595803,lightftp,snapfuzz-4,3,l_per,44.9
1660595803,lightftp,snapfuzz-4,3,l_abs,506
1660595803,lightftp,snapfuzz-4,3,b_per,27.9
1660595803,lightftp,snapfuzz-4,3,b_abs,218
1660596291,lightftp,snapfuzz-4,3,l_per,48.1
1660596291,lightftp,snapfuzz-4,3,l_abs,543
1660596291,lightftp,snapfuzz-4,3,b_per,30.6
1660596291,lightftp,snapfuzz-4,3,b_abs,239
1660596965,lightftp,snapfuzz-4,3,l_per,49.2
1660596965,lightftp,snapfuzz-4,3,l_abs,555
1660596965,lightftp,snapfuzz-4,3,b_per,31.7
1660596965,lightftp,snapfuzz-4,3,b_abs,248
1660598309,lightftp,snapfuzz-4,3,l_per,51.4
1660598309,lightftp,snapfuzz-4,3,l_abs,580
1660598309,lightftp,snapfuzz-4,3,b_per,33.6
1660598309,lightftp,snapfuzz-4,3,b_abs,263
1660601100,lightftp,snapfuzz-4,3,l_per,53.5
1660601100,lightftp,snapfuzz-4,3,l_abs,603
1660601100,lightftp,snapfuzz-4,3,b_per,35.8
1660601100,lightftp,snapfuzz-4,3,b_abs,280
1660601863,lightftp,snapfuzz-4,3,l_per,54.4
1660601863,lightftp,snapfuzz-4,3,l_abs,614
1660601863,lightftp,snapfuzz-4,3,b_per,36.8
1660601863,lightftp,snapfuzz-4,3,b_abs,288
1660602807,lightftp,snapfuzz-4,3,l_per,55.0
1660602807,lightftp,snapfuzz-4,3,l_abs,620
1660602807,lightftp,snapfuzz-4,3,b_per,37.2
1660602807,lightftp,snapfuzz-4,3,b_abs,291
1660595735,lightftp,snapfuzz-4,4,l_per,37.1
1660595735,lightftp,snapfuzz-4,4,l_abs,418
1660595735,lightftp,snapfuzz-4,4,b_per,20.8
1660595735,lightftp,snapfuzz-4,4,b_abs,163
1660595745,lightftp,snapfuzz-4,4,l_per,38.9
1660595745,lightftp,snapfuzz-4,4,l_abs,439
1660595745,lightftp,snapfuzz-4,4,b_per,23.1
1660595745,lightftp,snapfuzz-4,4,b_abs,181
1660595768,lightftp,snapfuzz-4,4,l_per,41.7
1660595768,lightftp,snapfuzz-4,4,l_abs,470
1660595768,lightftp,snapfuzz-4,4,b_per,26.0
1660595768,lightftp,snapfuzz-4,4,b_abs,203
1660595775,lightftp,snapfuzz-4,4,l_per,43.4
1660595775,lightftp,snapfuzz-4,4,l_abs,489
1660595775,lightftp,snapfuzz-4,4,b_per,27.1
1660595775,lightftp,snapfuzz-4,4,b_abs,212
1660595798,lightftp,snapfuzz-4,4,l_per,44.9
1660595798,lightftp,snapfuzz-4,4,l_abs,507
1660595798,lightftp,snapfuzz-4,4,b_per,27.7
1660595798,lightftp,snapfuzz-4,4,b_abs,217
1660596395,lightftp,snapfuzz-4,4,l_per,48.3
1660596395,lightftp,snapfuzz-4,4,l_abs,545
1660596395,lightftp,snapfuzz-4,4,b_per,30.6
1660596395,lightftp,snapfuzz-4,4,b_abs,239
1660597749,lightftp,snapfuzz-4,4,l_per,49.7
1660597749,lightftp,snapfuzz-4,4,l_abs,561
1660597749,lightftp,snapfuzz-4,4,b_per,32.4
1660597749,lightftp,snapfuzz-4,4,b_abs,253
1660599932,lightftp,snapfuzz-4,4,l_per,51.9
1660599932,lightftp,snapfuzz-4,4,l_abs,585
1660599932,lightftp,snapfuzz-4,4,b_per,34.7
1660599932,lightftp,snapfuzz-4,4,b_abs,271
1660602197,lightftp,snapfuzz-4,4,l_per,53.0
1660602197,lightftp,snapfuzz-4,4,l_abs,598
1660602197,lightftp,snapfuzz-4,4,b_per,36.1
1660602197,lightftp,snapfuzz-4,4,b_abs,282
1660602732,lightftp,snapfuzz-4,4,l_per,53.5
1660602732,lightftp,snapfuzz-4,4,l_abs,604
1660602732,lightftp,snapfuzz-4,4,b_per,36.6
1660602732,lightftp,snapfuzz-4,4,b_abs,286
1660595691,lightftp,aflnet-4,1,l_per,37.1
1660595691,lightftp,aflnet-4,1,l_abs,418
1660595691,lightftp,aflnet-4,1,b_per,20.8
1660595691,lightftp,aflnet-4,1,b_abs,163
1660595695,lightftp,aflnet-4,1,l_per,38.9
1660595695,lightftp,aflnet-4,1,l_abs,439
1660595695,lightftp,aflnet-4,1,b_per,23.1
1660595695,lightftp,aflnet-4,1,b_abs,181
1660595866,lightftp,aflnet-4,1,l_per,41.5
1660595866,lightftp,aflnet-4,1,l_abs,468
1660595866,lightftp,aflnet-4,1,b_per,25.8
1660595866,lightftp,aflnet-4,1,b_abs,202
1660596109,lightftp,aflnet-4,1,l_per,43.1
1660596109,lightftp,aflnet-4,1,l_abs,486
