fuzzer,run_no,time_spent,total_execs,ave_execs_per_sec,b_cov_percent,l_cov_percent
aflnet-4,1,7195,89736,12.471994440583739,16.4,25.5
aflnet-4,2,7195,90593,12.591104933981931,16.0,25.0
aflnet-4,3,7195,97907,13.607644197359278,16.7,25.8
aflnet-4,4,7196,101340,14.082823790994997,16.7,25.9
snapfuzz-4,1,7195,343787,47.78137595552467,17.0,26.2
snapfuzz-4,2,7195,409820,56.958999305072965,16.2,25.3
snapfuzz-4,3,7196,388156,53.940522512506945,16.8,26.0
snapfuzz-4,4,7196,340398,47.303779877709836,16.6,25.9
aflnet-4,average,7195.25,94894.0,13.188391840729984,16.45,25.549999999999997
snapfuzz-4,average,7195.5,370540.25,51.4961694127036,16.65,25.85
