Time,l_per,l_abs,b_per,b_abs
1662348032,14.5,3094,8.7,1434
1662348034,15.1,3237,8.9,1471
1662348035,18.1,3887,10.8,1778
1662348036,20.6,4411,12.1,1996
1662348037,22.4,4819,13.1,2152
1662348037,23.4,5024,13.8,2274
1662348039,24.0,5163,14.3,2349
1662348050,24.2,5211,14.7,2412
1662348059,24.3,5216,14.8,2431
1662348072,24.3,5220,14.8,2443
1662348089,24.4,5248,15.1,2480
1662348108,24.4,5248,15.1,2481
1662348123,24.4,5254,15.1,2484
1662348143,24.5,5263,15.2,2505
1662348173,24.6,5296,15.4,2532
1662348201,24.6,5297,15.4,2538
1662348233,24.7,5302,15.4,2542
1662348272,24.7,5306,15.5,2555
1662348318,24.7,5306,15.5,2555
1662348366,24.7,5308,15.6,2562
1662348427,24.7,5308,15.6,2565
1662348481,24.7,5308,15.6,2567
1662348581,24.7,5308,15.6,2567
1662348785,24.7,5308,15.6,2573
1662348961,24.7,5308,15.7,2578
1662349072,24.7,5314,15.7,2589
1662349191,24.7,5318,15.8,2595
1662349381,24.7,5318,15.8,2595
1662349531,25.0,5374,16.0,2633
1662349810,25.0,5374,16.0,2633
1662350069,25.0,5377,16.0,2634
1662350379,25.0,5377,16.0,2635
1662350692,25.1,5393,16.1,2645
1662350961,25.1,5396,16.1,2651
1662351951,25.2,5409,16.2,2661
1662352795,25.2,5424,16.2,2670
1662353513,25.2,5424,16.2,2670
1662355049,25.2,5424,16.2,2672
1662355186,25.2,5424,16.2,2672
