Time,l_per,l_abs,b_per,b_abs
1660631131,14.5,3094,8.7,1434
1660631132,15.1,3237,8.9,1471
1660631133,18.1,3887,10.8,1778
1660631133,20.6,4411,12.1,1996
1660631133,22.4,4819,13.1,2153
1660631135,23.4,5024,13.8,2275
1660631135,24.0,5163,14.3,2350
1660631146,24.3,5216,14.7,2427
1660631156,24.3,5221,14.8,2439
1660631167,24.3,5226,14.9,2458
1660631182,24.4,5237,15.1,2481
1660631194,24.4,5239,15.2,2494
1660631214,24.5,5260,15.3,2512
1660631234,24.5,5260,15.3,2514
1660631261,24.6,5291,15.4,2541
1660631289,24.6,5294,15.5,2547
1660631316,24.6,5300,15.6,2562
1660631358,24.7,5318,15.6,2571
1660631412,24.7,5319,15.6,2573
1660631556,24.7,5319,15.6,2573
1660631634,24.7,5319,15.6,2573
1660631735,24.7,5320,15.6,2575
1660631789,25.0,5372,15.8,2608
1660631995,25.0,5372,15.8,2608
1660632192,25.0,5384,15.9,2613
1660632275,25.0,5386,15.9,2617
1660632358,25.0,5386,15.9,2620
1660632540,25.0,5387,15.9,2621
1660632821,25.4,5473,16.1,2655
1660632963,25.6,5502,16.4,2699
1660633266,25.6,5502,16.4,2699
1660633409,25.6,5504,16.4,2705
1660633632,25.6,5504,16.4,2705
1660634600,25.6,5504,16.4,2707
1660635448,25.6,5514,16.5,2717
1660635746,25.8,5546,16.6,2738
1660636366,25.8,5549,16.6,2740
1660637561,25.8,5551,16.7,2742
1660638319,25.8,5551,16.7,2742
