Time,l_per,l_abs,b_per,b_abs
1662348099,14.5,3094,8.7,1434
1662348099,15.1,3237,8.9,1471
1662348099,18.1,3887,10.8,1778
1662348099,20.6,4411,12.1,1996
1662348099,22.4,4819,13.1,2152
1662348099,23.4,5024,13.8,2274
1662348099,24.0,5163,14.3,2349
1662348108,24.2,5206,14.6,2402
1662348118,24.2,5209,14.7,2416
1662348130,24.3,5217,14.7,2426
1662348147,24.3,5218,14.8,2429
1662348157,24.3,5219,14.8,2444
1662348172,24.3,5222,14.9,2452
1662348186,24.3,5222,14.9,2456
1662348213,24.3,5223,14.9,2460
1662348234,24.4,5251,15.0,2476
1662348257,24.5,5261,15.1,2492
1662348282,24.5,5266,15.2,2503
1662348332,24.5,5271,15.2,2509
1662348427,24.6,5281,15.4,2529
1662348465,24.6,5290,15.4,2539
1662348489,24.7,5304,15.5,2554
1662348519,24.7,5304,15.6,2563
1662348549,24.7,5304,15.6,2565
1662348612,24.7,5304,15.6,2568
1662348658,24.7,5320,15.7,2577
1662348712,24.7,5320,15.7,2577
1662348800,24.8,5324,15.7,2584
1662348882,24.9,5358,15.9,2613
1662349010,24.9,5359,15.9,2619
1662349177,24.9,5359,15.9,2620
1662349291,24.9,5359,15.9,2622
1662349452,24.9,5360,15.9,2623
1662349566,24.9,5361,16.0,2626
1662349772,25.0,5374,16.0,2631
1662349868,25.0,5376,16.0,2633
1662350255,25.0,5377,16.0,2636
1662350682,25.0,5377,16.0,2637
1662350946,25.0,5378,16.0,2639
1662351568,25.1,5398,16.2,2667
1662352085,25.3,5444,16.4,2701
1662352825,25.3,5447,16.4,2703
1662353752,25.7,5535,16.6,2739
1662354214,25.7,5535,16.6,2739
1662354772,25.7,5537,16.7,2744
1662355295,25.7,5537,16.7,2744
