time,subject,fuzzer,run,cov_type,cov
1662348099,live555,snapfuzz,1,l_per,14.5
1662348099,live555,snapfuzz,1,l_abs,3094
1662348099,live555,snapfuzz,1,b_per,8.7
1662348099,live555,snapfuzz,1,b_abs,1434
1662348099,live555,snapfuzz,1,l_per,15.1
1662348099,live555,snapfuzz,1,l_abs,3237
1662348099,live555,snapfuzz,1,b_per,8.9
1662348099,live555,snapfuzz,1,b_abs,1471
1662348099,live555,snapfuzz,1,l_per,18.1
1662348099,live555,snapfuzz,1,l_abs,3887
1662348099,live555,snapfuzz,1,b_per,10.8
1662348099,live555,snapfuzz,1,b_abs,1778
1662348099,live555,snapfuzz,1,l_per,20.6
1662348099,live555,snapfuzz,1,l_abs,4411
1662348099,live555,snapfuzz,1,b_per,12.1
1662348099,live555,snapfuzz,1,b_abs,1996
1662348099,live555,snapfuzz,1,l_per,22.4
1662348099,live555,snapfuzz,1,l_abs,4819
1662348099,live555,snapfuzz,1,b_per,13.1
1662348099,live555,snapfuzz,1,b_abs,2152
1662348099,live555,snapfuzz,1,l_per,23.4
1662348099,live555,snapfuzz,1,l_abs,5024
1662348099,live555,snapfuzz,1,b_per,13.8
1662348099,live555,snapfuzz,1,b_abs,2274
1662348099,live555,snapfuzz,1,l_per,24.0
1662348099,live555,snapfuzz,1,l_abs,5163
1662348099,live555,snapfuzz,1,b_per,14.3
1662348099,live555,snapfuzz,1,b_abs,2349
1662348108,live555,snapfuzz,1,l_per,24.2
1662348108,live555,snapfuzz,1,l_abs,5206
1662348108,live555,snapfuzz,1,b_per,14.6
1662348108,live555,snapfuzz,1,b_abs,2402
1662348118,live555,snapfuzz,1,l_per,24.2
1662348118,live555,snapfuzz,1,l_abs,5209
1662348118,live555,snapfuzz,1,b_per,14.7
1662348118,live555,snapfuzz,1,b_abs,2416
1662348130,live555,snapfuzz,1,l_per,24.3
1662348130,live555,snapfuzz,1,l_abs,5217
1662348130,live555,snapfuzz,1,b_per,14.7
1662348130,live555,snapfuzz,1,b_abs,2426
1662348147,live555,snapfuzz,1,l_per,24.3
1662348147,live555,snapfuzz,1,l_abs,5218
1662348147,live555,snapfuzz,1,b_per,14.8
1662348147,live555,snapfuzz,1,b_abs,2429
1662348157,live555,snapfuzz,1,l_per,24.3
1662348157,live555,snapfuzz,1,l_abs,5219
1662348157,live555,snapfuzz,1,b_per,14.8
1662348157,live555,snapfuzz,1,b_abs,2444
1662348172,live555,snapfuzz,1,l_per,24.3
1662348172,live555,snapfuzz,1,l_abs,5222
1662348172,live555,snapfuzz,1,b_per,14.9
1662348172,live555,snapfuzz,1,b_abs,2452
1662348186,live555,snapfuzz,1,l_per,24.3
1662348186,live555,snapfuzz,1,l_abs,5222
1662348186,live555,snapfuzz,1,b_per,14.9
1662348186,live555,snapfuzz,1,b_abs,2456
1662348213,live555,snapfuzz,1,l_per,24.3
1662348213,live555,snapfuzz,1,l_abs,5223
1662348213,live555,snapfuzz,1,b_per,14.9
1662348213,live555,snapfuzz,1,b_abs,2460
1662348234,live555,snapfuzz,1,l_per,24.4
1662348234,live555,snapfuzz,1,l_abs,5251
1662348234,live555,snapfuzz,1,b_per,15.0
1662348234,live555,snapfuzz,1,b_abs,2476
1662348257,live555,snapfuzz,1,l_per,24.5
1662348257,live555,snapfuzz,1,l_abs,5261
1662348257,live555,snapfuzz,1,b_per,15.1
1662348257,live555,snapfuzz,1,b_abs,2492
1662348282,live555,snapfuzz,1,l_per,24.5
1662348282,live555,snapfuzz,1,l_abs,5266
1662348282,live555,snapfuzz,1,b_per,15.2
1662348282,live555,snapfuzz,1,b_abs,2503
1662348332,live555,snapfuzz,1,l_per,24.5
1662348332,live555,snapfuzz,1,l_abs,5271
1662348332,live555,snapfuzz,1,b_per,15.2
1662348332,live555,snapfuzz,1,b_abs,2509
1662348427,live555,snapfuzz,1,l_per,24.6
1662348427,live555,snapfuzz,1,l_abs,5281
1662348427,live555,snapfuzz,1,b_per,15.4
1662348427,live555,snapfuzz,1,b_abs,2529
1662348465,live555,snapfuzz,1,l_per,24.6
1662348465,live555,snapfuzz,1,l_abs,5290
1662348465,live555,snapfuzz,1,b_per,15.4
1662348465,live555,snapfuzz,1,b_abs,2539
1662348489,live555,snapfuzz,1,l_per,24.7
1662348489,live555,snapfuzz,1,l_abs,5304
1662348489,live555,snapfuzz,1,b_per,15.5
1662348489,live555,snapfuzz,1,b_abs,2554
1662348519,live555,snapfuzz,1,l_per,24.7
1662348519,live555,snapfuzz,1,l_abs,5304
1662348519,live555,snapfuzz,1,b_per,15.6
1662348519,live555,snapfuzz,1,b_abs,2563
1662348549,live555,snapfuzz,1,l_per,24.7
1662348549,live555,snapfuzz,1,l_abs,5304
1662348549,live555,snapfuzz,1,b_per,15.6
1662348549,live555,snapfuzz,1,b_abs,2565
1662348612,live555,snapfuzz,1,l_per,24.7
1662348612,live555,snapfuzz,1,l_abs,5304
1662348612,live555,snapfuzz,1,b_per,15.6
1662348612,live555,snapfuzz,1,b_abs,2568
1662348658,live555,snapfuzz,1,l_per,24.7
1662348658,live555,snapfuzz,1,l_abs,5320
1662348658,live555,snapfuzz,1,b_per,15.7
1662348658,live555,snapfuzz,1,b_abs,2577
1662348712,live555,snapfuzz,1,l_per,24.7
1662348712,live555,snapfuzz,1,l_abs,5320
1662348712,live555,snapfuzz,1,b_per,15.7
1662348712,live555,snapfuzz,1,b_abs,2577
1662348800,live555,snapfuzz,1,l_per,24.8
1662348800,live555,snapfuzz,1,l_abs,5324
1662348800,live555,snapfuzz,1,b_per,15.7
1662348800,live555,snapfuzz,1,b_abs,2584
1662348882,live555,snapfuzz,1,l_per,24.9
1662348882,live555,snapfuzz,1,l_abs,5358
1662348882,live555,snapfuzz,1,b_per,15.9
1662348882,live555,snapfuzz,1,b_abs,2613
1662349010,live555,snapfuzz,1,l_per,24.9
1662349010,live555,snapfuzz,1,l_abs,5359
1662349010,live555,snapfuzz,1,b_per,15.9
1662349010,live555,snapfuzz,1,b_abs,2619
1662349177,live555,snapfuzz,1,l_per,24.9
1662349177,live555,snapfuzz,1,l_abs,5359
1662349177,live555,snapfuzz,1,b_per,15.9
1662349177,live555,snapfuzz,1,b_abs,2620
1662349291,live555,snapfuzz,1,l_per,24.9
1662349291,live555,snapfuzz,1,l_abs,5359
1662349291,live555,snapfuzz,1,b_per,15.9
