fuzzer,run_no,time_spent,total_execs,ave_execs_per_sec,b_cov_percent,l_cov_percent
aflnet-4,1,3500,9391,2.6831428571428573,20.5,27.6
aflnet-4,2,7196,18664,2.593663146192329,27.5,40.9
aflnet-4,3,7196,19236,2.6731517509727625,19.8,27.2
aflnet-4,4,7196,17142,2.3821567537520845,19.8,27.3
snapfuzz-4,1,7196,1113665,154.76167315175098,26.2,33.8
snapfuzz-4,2,7195,1361670,189.25225851285614,30.8,43.1
snapfuzz-4,3,7196,1235091,171.6357698721512,25.2,33.1
snapfuzz-4,4,7196,1248339,173.47679266259033,27.2,34.0
aflnet-4,average,6272.0,16108.25,2.5830286270150085,21.9,30.75
snapfuzz-4,average,7195.75,1239691.25,172.28162354983718,27.35,36.0
