Time,l_per,l_abs,b_per,b_abs
1662358740,16.2,534,8.2,155
1662358740,16.2,534,8.2,155
1662358740,16.3,538,8.3,157
1662358740,16.3,538,8.3,157
1662358755,25.7,847,17.0,322
1662358766,26.1,863,18.0,341
1662358799,30.6,1012,22.0,417
1662358829,30.6,1013,22.0,418
1662358910,31.0,1024,22.6,429
1662359136,31.5,1040,23.3,443
1662359345,31.5,1040,23.3,443
1662359503,32.5,1074,24.7,469
1662359645,32.9,1088,25.0,475
1662360093,33.0,1090,25.2,478
1662360476,33.2,1097,25.7,487
1662360719,33.2,1097,25.7,487
1662361024,33.5,1107,25.8,490
1662361599,33.5,1107,25.8,490
1662364053,33.5,1107,25.8,490
1662365852,34.2,1130,27.3,518
