Time,l_per,l_abs,b_per,b_abs
1660559653,16.2,534,8.2,155
1660559653,16.2,534,8.2,155
1660559653,16.3,538,8.3,157
1660559653,16.3,538,8.3,157
1660559664,25.7,847,16.9,321
1660559686,26.0,858,17.5,332
1660559709,26.2,864,18.0,342
1660559779,30.6,1013,22.0,418
1660559935,31.0,1024,22.5,427
1660560257,31.3,1034,22.7,430
1660560360,31.3,1034,22.7,430
1660560632,31.7,1048,23.3,442
1660560956,31.8,1050,23.4,445
1660561894,31.8,1050,23.4,445
1660563104,32.9,1087,24.7,468
1660563818,33.0,1092,25.0,475
1660565441,33.1,1095,25.2,479
1660566624,33.1,1095,25.2,479
