time,subject,fuzzer,run,cov_type,cov
1662358740,tinydtls,snapfuzz,1,l_per,16.2
1662358740,tinydtls,snapfuzz,1,l_abs,534
1662358740,tinydtls,snapfuzz,1,b_per,8.2
1662358740,tinydtls,snapfuzz,1,b_abs,155
1662358740,tinydtls,snapfuzz,1,l_per,16.2
1662358740,tinydtls,snapfuzz,1,l_abs,534
1662358740,tinydtls,snapfuzz,1,b_per,8.2
1662358740,tinydtls,snapfuzz,1,b_abs,155
1662358740,tinydtls,snapfuzz,1,l_per,16.3
1662358740,tinydtls,snapfuzz,1,l_abs,538
1662358740,tinydtls,snapfuzz,1,b_per,8.3
1662358740,tinydtls,snapfuzz,1,b_abs,157
1662358740,tinydtls,snapfuzz,1,l_per,16.3
1662358740,tinydtls,snapfuzz,1,l_abs,538
1662358740,tinydtls,snapfuzz,1,b_per,8.3
1662358740,tinydtls,snapfuzz,1,b_abs,157
1662358755,tinydtls,snapfuzz,1,l_per,25.7
1662358755,tinydtls,snapfuzz,1,l_abs,847
1662358755,tinydtls,snapfuzz,1,b_per,17.0
1662358755,tinydtls,snapfuzz,1,b_abs,322
1662358766,tinydtls,snapfuzz,1,l_per,26.1
1662358766,tinydtls,snapfuzz,1,l_abs,863
1662358766,tinydtls,snapfuzz,1,b_per,18.0
1662358766,tinydtls,snapfuzz,1,b_abs,341
1662358799,tinydtls,snapfuzz,1,l_per,30.6
1662358799,tinydtls,snapfuzz,1,l_abs,1012
1662358799,tinydtls,snapfuzz,1,b_per,22.0
1662358799,tinydtls,snapfuzz,1,b_abs,417
1662358829,tinydtls,snapfuzz,1,l_per,30.6
1662358829,tinydtls,snapfuzz,1,l_abs,1013
1662358829,tinydtls,snapfuzz,1,b_per,22.0
1662358829,tinydtls,snapfuzz,1,b_abs,418
1662358910,tinydtls,snapfuzz,1,l_per,31.0
1662358910,tinydtls,snapfuzz,1,l_abs,1024
1662358910,tinydtls,snapfuzz,1,b_per,22.6
1662358910,tinydtls,snapfuzz,1,b_abs,429
1662359136,tinydtls,snapfuzz,1,l_per,31.5
1662359136,tinydtls,snapfuzz,1,l_abs,1040
1662359136,tinydtls,snapfuzz,1,b_per,23.3
1662359136,tinydtls,snapfuzz,1,b_abs,443
1662359345,tinydtls,snapfuzz,1,l_per,31.5
1662359345,tinydtls,snapfuzz,1,l_abs,1040
1662359345,tinydtls,snapfuzz,1,b_per,23.3
1662359345,tinydtls,snapfuzz,1,b_abs,443
1662359503,tinydtls,snapfuzz,1,l_per,32.5
1662359503,tinydtls,snapfuzz,1,l_abs,1074
1662359503,tinydtls,snapfuzz,1,b_per,24.7
1662359503,tinydtls,snapfuzz,1,b_abs,469
1662359645,tinydtls,snapfuzz,1,l_per,32.9
1662359645,tinydtls,snapfuzz,1,l_abs,1088
1662359645,tinydtls,snapfuzz,1,b_per,25.0
1662359645,tinydtls,snapfuzz,1,b_abs,475
1662360093,tinydtls,snapfuzz,1,l_per,33.0
1662360093,tinydtls,snapfuzz,1,l_abs,1090
1662360093,tinydtls,snapfuzz,1,b_per,25.2
1662360093,tinydtls,snapfuzz,1,b_abs,478
1662360476,tinydtls,snapfuzz,1,l_per,33.2
1662360476,tinydtls,snapfuzz,1,l_abs,1097
1662360476,tinydtls,snapfuzz,1,b_per,25.7
1662360476,tinydtls,snapfuzz,1,b_abs,487
1662360719,tinydtls,snapfuzz,1,l_per,33.2
1662360719,tinydtls,snapfuzz,1,l_abs,1097
1662360719,tinydtls,snapfuzz,1,b_per,25.7
1662360719,tinydtls,snapfuzz,1,b_abs,487
1662361024,tinydtls,snapfuzz,1,l_per,33.5
1662361024,tinydtls,snapfuzz,1,l_abs,1107
1662361024,tinydtls,snapfuzz,1,b_per,25.8
1662361024,tinydtls,snapfuzz,1,b_abs,490
1662361599,tinydtls,snapfuzz,1,l_per,33.5
1662361599,tinydtls,snapfuzz,1,l_abs,1107
1662361599,tinydtls,snapfuzz,1,b_per,25.8
1662361599,tinydtls,snapfuzz,1,b_abs,490
1662364053,tinydtls,snapfuzz,1,l_per,33.5
1662364053,tinydtls,snapfuzz,1,l_abs,1107
1662364053,tinydtls,snapfuzz,1,b_per,25.8
1662364053,tinydtls,snapfuzz,1,b_abs,490
1662365852,tinydtls,snapfuzz,1,l_per,34.2
1662365852,tinydtls,snapfuzz,1,l_abs,1130
1662365852,tinydtls,snapfuzz,1,b_per,27.3
1662365852,tinydtls,snapfuzz,1,b_abs,518
1662358742,tinydtls,snapfuzz,2,l_per,16.2
1662358742,tinydtls,snapfuzz,2,l_abs,534
1662358742,tinydtls,snapfuzz,2,b_per,8.2
1662358742,tinydtls,snapfuzz,2,b_abs,155
1662358742,tinydtls,snapfuzz,2,l_per,16.2
1662358742,tinydtls,snapfuzz,2,l_abs,534
1662358742,tinydtls,snapfuzz,2,b_per,8.2
1662358742,tinydtls,snapfuzz,2,b_abs,155
1662358742,tinydtls,snapfuzz,2,l_per,16.3
1662358742,tinydtls,snapfuzz,2,l_abs,538
1662358742,tinydtls,snapfuzz,2,b_per,8.3
1662358742,tinydtls,snapfuzz,2,b_abs,157
1662358742,tinydtls,snapfuzz,2,l_per,16.3
1662358742,tinydtls,snapfuzz,2,l_abs,538
1662358742,tinydtls,snapfuzz,2,b_per,8.3
1662358742,tinydtls,snapfuzz,2,b_abs,157
1662358752,tinydtls,snapfuzz,2,l_per,25.5
1662358752,tinydtls,snapfuzz,2,l_abs,841
1662358752,tinydtls,snapfuzz,2,b_per,16.6
1662358752,tinydtls,snapfuzz,2,b_abs,316
1662358767,tinydtls,snapfuzz,2,l_per,26.1
1662358767,tinydtls,snapfuzz,2,l_abs,861
1662358767,tinydtls,snapfuzz,2,b_per,17.9
1662358767,tinydtls,snapfuzz,2,b_abs,340
1662358785,tinydtls,snapfuzz,2,l_per,31.3
1662358785,tinydtls,snapfuzz,2,l_abs,1034
1662358785,tinydtls,snapfuzz,2,b_per,22.7
1662358785,tinydtls,snapfuzz,2,b_abs,430
1662358834,tinydtls,snapfuzz,2,l_per,31.3
1662358834,tinydtls,snapfuzz,2,l_abs,1035
1662358834,tinydtls,snapfuzz,2,b_per,22.7
1662358834,tinydtls,snapfuzz,2,b_abs,431
1662358947,tinydtls,snapfuzz,2,l_per,32.0
1662358947,tinydtls,snapfuzz,2,l_abs,1058
1662358947,tinydtls,snapfuzz,2,b_per,23.8
1662358947,tinydtls,snapfuzz,2,b_abs,452
1662359064,tinydtls,snapfuzz,2,l_per,32.7
1662359064,tinydtls,snapfuzz,2,l_abs,1080
